fund_id,fund_name,asset_family,method,first_live_date,last_live_date,annualization_days,gross_annualized_return,gross_sharpe_ratio,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,ending_growth_of_1,average_rebalance_turnover,cumulative_turnover,total_transaction_cost,average_target_change,average_target_weight_hhi,latest_target_weight_hhi,average_effective_number_of_bets,latest_nonzero_holding_count,projection_rebalance_share,average_projection_l1_distance,maximum_projection_l1_distance
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,2021-01-04,2023-12-29,252,0.09779925678492352,0.7385304020667662,0.09606664411821852,0.139539136538007,0.727212042107939,-0.17907204203400418,1.3153357814470847,0.13115884951636525,4.7217185825891494,0.00472171858258915,0.10288033384984278,0.028746807759798,0.02892996559853751,4.829349344034403,60,0.0,0.0,0.0
combined_risk_parity,Combined Risk Parity,combined,risk_parity,2021-01-04,2023-12-29,252,0.1396656825297451,0.8880988409767678,0.13877911057107628,0.1620225306853937,0.8832785588726769,-0.1949397865841127,1.4745061124294498,0.0645828500947676,2.3249826034116334,0.0023249826034116333,0.022481158569787944,0.02015516860460094,0.01957822625021922,3.6257506048841637,60,0.0,0.0,0.0
crypto_hierarchical_risk_parity,Crypto Hierarchical Risk Parity,crypto,hierarchical_risk_parity,2021-01-01,2023-12-31,365,0.4262339051507613,0.849916681852762,0.42401341995061137,0.7704322392741741,0.8478929948055431,-0.781381891304364,2.8876346627306813,0.1304856949567061,4.697485018441419,0.00469748501844142,0.07180723733444944,0.12300802706700718,0.1307477981684933,1.167767774167053,10,0.2222222222222222,0.013733378207478636,0.08975492231850916
crypto_risk_parity,Crypto Risk Parity,crypto,risk_parity,2021-01-01,2023-12-31,365,0.4429237802437509,0.8624176569375341,0.44137499297617566,0.7989300475436181,0.8610727559290963,-0.7989609270739229,2.994545726322321,0.0902431113900689,3.2487520100424803,0.00324875201004248,0.012790397450546923,0.10446598557266457,0.10626805045221785,1.0748539021384835,10,0.0,0.0,0.0
equity_hierarchical_risk_parity,Equity Hierarchical Risk Parity,equity,hierarchical_risk_parity,2021-01-04,2023-12-29,252,0.0836240140807396,0.6554308794559177,0.08170340565611678,0.13682478025863068,0.6424458256078621,-0.17436848139849082,1.2644991483743209,0.14723546025048606,5.300476569017499,0.0053004765690175,0.12017893605649947,0.02858671709280712,0.03040962799680955,2.4770059040767354,50,0.0,0.0,0.0
equity_risk_parity,Equity Risk Parity,equity,risk_parity,2021-01-04,2023-12-29,252,0.09910814629054321,0.7231479545992923,0.09832793698200248,0.14530441072558692,0.7181764182305346,-0.18507871925344366,1.3234611163702197,0.058706985530883604,2.1134514791118097,0.00211345147911181,0.020374523718880964,0.02238383488290619,0.022440108834337894,2.0074285179681683,50,0.0,0.0,0.0
