fund_id,fund_name,asset_family,method,rebalance_schedule,rebalance_number,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,annualization_days,eligible_asset_count,turnover,transaction_cost,transaction_cost_bps,covariance_estimator,covariance_shrinkage,sample_covariance_condition_number,covariance_trace,covariance_condition_number,covariance_minimum_eigenvalue,covariance_ridge_added,expected_return_min,expected_return_max,solver_success,solver_status,solver_message,solver_iterations,valid_start_count,objective_value,expected_portfolio_return,expected_portfolio_volatility,expected_sharpe,weight_sum_residual,maximum_bound_residual,minimum_weight,maximum_weight,crypto_sleeve_weight,weight_hhi,risk_contribution_dispersion,effective_number_of_bets,effective_bet_ratio,cluster_count,minimum_linkage_distance,maximum_linkage_distance,constraint_projection_applied,projection_l1_distance,raw_maximum_weight,raw_weight_hhi,raw_crypto_sleeve_weight,ordered_asset_signature
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,sample_ridge,,1033.4140189789068,21.157579991903326,1033.413620149154,0.009128114582134406,3.526263296721254e-09,-0.3492732395247833,1.982593873089236,True,0,closed-form feasible equal weight,0,1,0.13947669063937518,0.4087455838413186,0.3734657824210609,1.0944659539932946,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.005438008511426676,1.1542675719684046,0.019237792866140076,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,2,2021-02-01,2020-01-31,2021-01-29,2021-02-01,252,252,60,0.045735461348319406,4.5735461348319405e-05,10.0,sample_ridge,,1091.1159806064534,22.44822153978953,1091.1155307785195,0.00906686119653018,3.741370219217885e-09,-0.23740683868214907,2.7597000301127537,True,0,closed-form feasible equal weight,0,1,0.14375175620460737,0.34577721410022133,0.3791460882095546,0.9119894015868357,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.005730675977641173,1.2098832495385858,0.020164720825643096,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,3,2021-03-01,2020-02-28,2021-02-26,2021-03-01,252,252,60,0.06775775218129503,6.775775218129503e-05,10.0,sample_ridge,,1144.0404576090773,23.014831526063983,1144.0399490852305,0.008621976286872026,3.835805215985945e-09,-0.09602128620994455,2.9761046427603395,True,0,closed-form feasible equal weight,0,1,0.14134002884932098,0.5236674698615097,0.3759521629799741,1.392909847121704,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.005947031108214809,1.2576226458702595,0.020960377431170994,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,4,2021-04-01,2020-04-01,2021-03-31,2021-04-01,252,252,60,0.035092601088789165,3.5092601088789164e-05,10.0,sample_ridge,,662.0121449886715,15.539452910196802,662.0119356502846,0.008177961042976675,2.5899087924670455e-09,-0.060127039234835644,2.867691654241286,True,0,closed-form feasible equal weight,0,1,0.06027278732975956,0.6824021455820471,0.2455051676233304,2.7795836323454983,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.009097221279991215,2.1176283514908403,0.03529380585818067,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,5,2021-05-03,2020-05-01,2021-04-30,2021-05-03,252,252,60,0.0747582408704302,7.47582408704302e-05,10.0,sample_ridge,,797.3613484584146,15.299208835217478,797.3610584587759,0.00700213425586742,2.5498681137042323e-09,-0.2081438801394524,2.7040908911882555,True,0,closed-form feasible equal weight,0,1,0.04691534192962925,0.6418908399165407,0.21659949660520741,2.9634918362091365,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.012075914822152803,2.6268972610623127,0.04378162101770521,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,6,2021-06-01,2020-06-01,2021-05-28,2021-06-01,252,252,60,0.04172174268939161,4.172174268939161e-05,10.0,sample_ridge,,1412.0342280329962,19.13689618527403,1412.0335165734627,0.0063256854156733084,3.1894826656508454e-09,-0.09446757920356907,2.5441974199957964,True,0,closed-form feasible equal weight,0,1,0.054911372852047,0.6315748521685739,0.2343317580953273,2.695216633469059,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.017023708970987515,2.3884601601377455,0.03980766933562909,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,7,2021-07-01,2020-07-01,2021-06-30,2021-07-01,252,252,60,0.0490397425935241,4.90397425935241e-05,10.0,sample_ridge,,1689.7173417506071,19.25250895118555,1689.7163954840023,0.005726371633277819,3.2087514597767435e-09,-0.04517062980827402,2.4942228399591873,True,0,closed-form feasible equal weight,0,1,0.04845560896377605,0.5727946298940476,0.22012634772733602,2.6021175375314516,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.020648302039588357,2.493565742664226,0.04155942904440377,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,8,2021-08-02,2020-07-31,2021-07-30,2021-08-02,252,252,60,0.02445178467116293,2.4451784671162932e-05,10.0,sample_ridge,,1995.455148305402,19.050136395589725,1995.4538598721672,0.004914837793726759,3.1750227008480616e-09,-0.03111480254552568,2.133926362043439,True,0,closed-form feasible equal weight,0,1,0.048872928745402944,0.5152278379863928,0.22107222517856678,2.330586022600657,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.020900695406366552,2.486911461237,0.041448524353949995,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,9,2021-09-01,2020-09-01,2021-08-31,2021-09-01,252,252,60,0.0406094633306259,4.0609463330625904e-05,10.0,sample_ridge,,2130.423351434478,19.19628066223325,2130.421906888042,0.004716244829139146,3.1993800783784072e-09,-0.07863987065770972,2.5355819840145335,True,0,closed-form feasible equal weight,0,1,0.04942242897644956,0.5494397006094903,0.22231155835099883,2.471485084648644,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.021210659426502246,2.4955679263221535,0.041592798772035894,,,,,,,,,
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,10,2021-10-01,2020-10-01,2021-09-30,2021-10-01,252,252,60,0.0342957246988343,3.4295724698834304e-05,10.0,sample_ridge,,2463.798347830006,19.277343381734276,2463.7964940943734,0.004268516662541306,3.2128905314934743e-09,-0.12416434745014902,2.3815964347981127,True,0,closed-form feasible equal weight,0,1,0.04941568984099065,0.5005130098209993,0.22229640087277763,2.251556965636379,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.01666666666666666,0.022506711925243755,2.382942722196492,0.039715712036608196,,,,,,,,,
