asset_family,comparator_method,common_rebalance_count,mean_l1_weight_distance,minimum_l1_weight_distance,maximum_l1_weight_distance,net_return_correlation,annualized_return_difference,sharpe_ratio_difference,oos_daily_cvar_difference,turnover_difference,economically_distinct
combined,minimum_variance,36,0.5906152334008299,0.2941966600849781,0.9853613860040056,0.9461905114845329,-0.010109846370630615,-0.09191733822353537,0.0005804220594047005,0.09132808967884301,True
combined,hierarchical_risk_parity,36,1.1265576758717257,0.9623600253505855,1.2572763333688013,0.9239106045470568,-0.04943160534174873,-0.3155557180077391,-0.0016099086324769286,0.10658443620992422,True
crypto,minimum_variance,36,0.38452038880092415,0.15717543419073784,1.0,0.9785296197014036,-0.18696106761619302,-0.15691056907053968,0.0010469265195978406,-0.01611606659447795,True
crypto,hierarchical_risk_parity,36,0.8200225146901808,0.5403551778085511,1.0126869427440934,0.9685622926385121,0.08390377894446721,0.0674777104560329,-0.0016122598838941848,0.012607544142777483,True
equity,minimum_variance,36,0.5717797758591601,0.22238054000970173,0.9852963788886153,0.9558512047732698,-0.02133458093675311,-0.17067593711564982,0.0003270616479903732,0.0836270555501474,True
equity,hierarchical_risk_parity,36,1.1271656214774595,0.9522293270778841,1.2220317559592393,0.9232493337989953,-0.046359815168127705,-0.30945660133192604,-0.001540117352854347,0.08154311323123517,True
