asset_family,common_rebalance_count,mean_l1_weight_distance,minimum_l1_weight_distance,maximum_l1_weight_distance,net_return_correlation,annualized_return_difference,sharpe_ratio_difference,maximum_drawdown_difference,turnover_difference,economically_distinct
combined,36,0.36733474202550287,0.3059073021541764,0.45099435859350645,0.9639197955864327,-0.042712466452857756,-0.15606651676473793,0.01586774455010853,0.06657599942159766,True
crypto,36,0.2403673810415953,0.1731529735181975,0.3129934091924331,0.9975811337548125,-0.017361573025564292,-0.013179761123553124,0.01757903576955888,0.040242583566637194,True
equity,36,0.3140092903687222,0.24795981268623044,0.3744120939228267,0.9877022665748949,-0.016624531325885705,-0.07573059262267245,0.010710237854952842,0.08852847471960246,True
