asset_family,method,common_rebalance_count,mean_l1_weight_distance,maximum_l1_weight_distance,net_return_correlation,condition_number_ratio_ledoit_to_sample,net_annualized_return_delta,net_annualized_volatility_delta,net_sharpe_ratio_delta,net_maximum_drawdown_delta,average_turnover_delta,average_target_change_delta,average_hhi_delta,conditioning_improved,target_stability_not_worse,turnover_not_worse,sharpe_not_materially_worse,drawdown_not_materially_worse,candidate_for_adoption
equity,minimum_variance,36,0.053304580886720826,0.11131377145056053,0.9997608781369504,0.48252080037250616,0.0009453100617804466,-8.60061487395064e-05,0.007423567511756768,-0.00153705582412067,-0.0046214431565558545,-0.003907688595698788,-0.003181072689015768,True,True,True,True,True,True
equity,risk_parity,36,0.0026050089246269586,0.004421969266976394,0.999998954568084,0.48252080037250616,9.799474195881785e-05,0.00010765443886254222,0.0001896655683498727,-0.00010596310680799359,-0.00017780674747011616,-0.0002639692801116554,-4.653812352161529e-05,True,True,True,True,True,True
equity,maximum_sharpe,36,0.018198398458567244,0.06607163057715368,0.9999411692554363,0.48252080037250616,-0.0002669172985645396,0.0004781760938577795,-0.002834647886859387,-0.0005419756384525964,-0.001643216510539225,-0.0013720905695322472,-0.0009108706997265625,True,True,True,True,True,True
equity,hierarchical_risk_parity,36,0.2105743368648231,0.2826073960421111,0.9973241017766137,0.48252080037250616,0.00742223281087484,0.0003275710224955042,0.0486692586745846,0.009528030627645623,0.0006322013177290364,8.82703938959728e-05,-0.0005117487619797842,True,True,True,True,True,True
combined,minimum_variance,36,0.12244995609138343,0.2505321039515765,0.9987533820898613,0.33140745682503037,0.00070470192535943,-0.00015727690408937067,0.005809789384871866,-0.0009876667490091862,-0.008071418720089318,-0.00537589748301634,-0.007442297613529797,True,True,True,True,True,True
combined,risk_parity,36,0.00638993973102409,0.018157972961356232,0.9999919302673116,0.33140745682503037,0.0002755561650753524,0.00038592019073552253,-0.00022243071357297417,-0.0005373973972593316,-0.0003674742669076414,-0.0005219594226711505,-0.00011794941995327615,True,True,True,True,True,True
combined,maximum_sharpe,36,0.041425549938002355,0.11120931126831406,0.9997012941550307,0.33140745682503037,-0.004512969398352995,0.0019943707903275487,-0.024476655517032375,-0.000944453139271495,-0.0010741698672299682,-0.0003608884744570884,-0.0018368305664093476,True,True,True,True,True,True
combined,hierarchical_risk_parity,36,0.19728268510138014,0.29823935969400095,0.996983470228499,0.33140745682503037,0.007195233133701295,0.0015678140433097176,0.03986619352993015,0.003923376028413195,-0.009743464332718915,-0.01085482429067433,-0.0013924623625903437,True,True,True,True,True,True
crypto,hierarchical_risk_parity,36,0.1154157477669833,0.3164373979219611,0.9982821234945136,0.5825979618350507,-0.05155597376137844,-0.00032263695000589454,-0.04728357590656196,-0.005907588569165734,0.00037831054049153323,0.0045614605014992066,0.000936854950265395,True,True,True,True,True,True
