dataset,ticker,date,adjClose,previous_adjClose,simple_return,absolute_return,threshold,treatment
crypto_prices,XLM-USD,2021-01-06,0.34079301357269287,0.1948229968547821,0.7492442836546367,0.7492442836546367,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2023-07-13,0.8153650164604187,0.47110500931739807,0.7307500458163925,0.7307500458163925,0.2,retained; no internal price-rule failure
crypto_prices,XLM-USD,2023-07-13,0.15487900376319885,0.09626200050115585,0.6089319041456984,0.6089319041456984,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2021-01-30,0.44024398922920227,0.2821879982948303,0.5601088348528376,0.5601088348528376,0.2,retained; no internal price-rule failure
crypto_prices,EOS-USD,2021-05-11,14.3655424118042,9.255657196044922,0.5520823759487123,0.5520823759487123,0.2,retained; no internal price-rule failure
crypto_prices,BCH-USD,2021-05-05,1454.93505859375,955.1824340820312,0.5232012301314997,0.5232012301314997,0.2,retained; no internal price-rule failure
crypto_prices,XLM-USD,2020-11-24,0.19548000395298004,0.1305990070104599,0.49679548434333576,0.49679548434333576,0.2,retained; no internal price-rule failure
crypto_prices,BCH-USD,2020-03-12,152.22499084472656,266.85546875,-0.4295601601954183,0.4295601601954183,0.2,retained; no internal price-rule failure
crypto_prices,ETH-USD,2020-03-12,112.34712219238281,194.8685302734375,-0.42347221465293294,0.42347221465293294,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2020-12-23,0.25860199332237244,0.4484480023384094,-0.42334007070183066,0.42334007070183066,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2021-04-05,0.9204729795455933,0.6467289924621582,0.4232746486921297,0.4232746486921297,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2021-05-06,134.10179138183594,94.26644134521484,0.42258251683374093,0.42258251683374093,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2021-05-24,73.42115783691406,51.96479415893555,0.41290192764650846,0.41290192764650846,0.2,retained; no internal price-rule failure
crypto_prices,TRX-USD,2020-03-12,0.008791999891400337,0.014835000038146973,-0.4073474978906344,0.4073474978906344,0.2,retained; no internal price-rule failure
crypto_prices,ETC-USD,2020-03-12,3.9639461040496826,6.57728910446167,-0.39732828508925355,0.39732828508925355,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2020-11-21,0.4583440124988556,0.32806798815727234,0.3971006896263536,0.3971006896263536,0.2,retained; no internal price-rule failure
crypto_prices,TRX-USD,2021-03-31,0.09231200069189072,0.06608600169420242,0.3968465079646215,0.3968465079646215,0.2,retained; no internal price-rule failure
crypto_prices,EOS-USD,2020-03-12,1.8480910062789917,3.0598950386047363,-0.39602797384785726,0.39602797384785726,0.2,retained; no internal price-rule failure
crypto_prices,ADA-USD,2020-03-12,0.02396100014448166,0.03964899852871895,-0.3956719959237812,0.3956719959237812,0.2,retained; no internal price-rule failure
crypto_prices,XRP-USD,2020-11-23,0.6139799952507019,0.44369998574256897,0.3837728532335991,0.3837728532335991,0.2,retained; no internal price-rule failure
crypto_prices,EOS-USD,2021-05-19,5.755894184112549,9.332971572875977,-0.3832731473391966,0.3832731473391966,0.2,retained; no internal price-rule failure
