asset_family,common_rebalance_count,mean_l1_weight_distance,minimum_l1_weight_distance,maximum_l1_weight_distance,net_return_correlation,average_enb_improvement,enb_dominance_violation_count,annualized_return_difference,sharpe_ratio_difference,turnover_difference,economically_distinct
combined,36,1.4196745951090375,1.338996360889333,1.501593506920438,0.8430421510754952,10.111476597313246,0,-0.0805449548481767,-0.40044047220227524,0.19792782181464896,True
crypto,36,1.0590076950454328,1.0038048610515804,1.1383148694148415,0.9423484146626336,0.7895206411352919,0,0.033502583529595675,0.029905156146007417,0.07863614582607266,True
equity,36,1.3942272398385795,1.313959894931545,1.455581276192284,0.8446653191530419,6.464556654591693,0,-0.060418751108463065,-0.37078114729761574,0.20107182432087278,True
