asset_family,method_a,method_b,common_rebalance_count,mean_l1_weight_distance,minimum_l1_weight_distance,maximum_l1_weight_distance,economically_distinct
combined,equal_weight,hierarchical_risk_parity,36,0.6553527034401795,0.5627274151136475,0.7543482133112873,True
combined,equal_weight,maximum_sharpe,36,1.5694849569521623,1.4311886916667858,1.6666666666666983,True
combined,equal_weight,minimum_variance,36,1.462260275132988,1.2113825549539687,1.6117565893141936,True
combined,equal_weight,risk_parity,36,0.35877298259133694,0.25781633889512173,0.4295111378071536,True
combined,hierarchical_risk_parity,maximum_sharpe,36,1.4615084836833008,1.2484074917551307,1.6349710218379225,True
combined,hierarchical_risk_parity,minimum_variance,36,1.0298749260825553,0.8661489792090376,1.2290410846025164,True
combined,hierarchical_risk_parity,risk_parity,36,0.36733474202550287,0.3059073021541764,0.45099435859350645,True
combined,maximum_sharpe,minimum_variance,36,1.302942598362799,0.8551067389679506,1.5999999999988153,True
combined,maximum_sharpe,risk_parity,36,1.4813554478915654,1.3752134041556414,1.6095799063807992,True
combined,minimum_variance,risk_parity,36,1.2003363894025219,0.9362718548195079,1.4069449434753156,True
crypto,equal_weight,hierarchical_risk_parity,36,0.3427583901103064,0.16979503355270514,0.45490619107821245,True
crypto,equal_weight,maximum_sharpe,36,1.1487083901256592,0.971391480122149,1.2,True
crypto,equal_weight,minimum_variance,36,0.9305295384731193,0.6092584459470923,1.199999999999999,True
crypto,equal_weight,risk_parity,36,0.14819329974230327,0.0865293950733956,0.21213916613339906,True
crypto,hierarchical_risk_parity,maximum_sharpe,36,1.0371008710650738,0.6528417146054815,1.3356575958011254,True
crypto,hierarchical_risk_parity,minimum_variance,36,0.6885447646651941,0.4097052570404984,1.1502000869339606,True
crypto,hierarchical_risk_parity,risk_parity,36,0.2403673810415953,0.1731529735181975,0.3129934091924331,True
crypto,maximum_sharpe,minimum_variance,36,0.9522602048440224,0.4873968108158699,1.4999999999999998,True
crypto,maximum_sharpe,risk_parity,36,1.0855740810026546,0.7839626571216968,1.2359394926818859,True
crypto,minimum_variance,risk_parity,36,0.7871848930153791,0.5231234427296478,1.09884964244486,True
equity,equal_weight,hierarchical_risk_parity,36,0.5131025124974219,0.4550758719078595,0.5640541537420144,True
equity,equal_weight,maximum_sharpe,36,1.5057201177088588,1.3588774098021805,1.5999999999999635,True
equity,equal_weight,minimum_variance,36,1.3766898465105448,1.109731959777941,1.538462287941804,True
equity,equal_weight,risk_parity,36,0.2738177553433705,0.24447737142749199,0.31410269025529297,True
equity,hierarchical_risk_parity,maximum_sharpe,36,1.4262752681748294,1.265371858131174,1.5569256257993334,True
equity,hierarchical_risk_parity,minimum_variance,36,1.046566477414666,0.8821132240538182,1.2245136549551685,True
equity,hierarchical_risk_parity,risk_parity,36,0.3140092903687222,0.24795981268623044,0.3744120939228267,True
equity,maximum_sharpe,minimum_variance,36,1.2710983289961562,0.8550503574673501,1.5855451867640677,True
equity,maximum_sharpe,risk_parity,36,1.436670618986601,1.3467494609636048,1.4967280930899791,True
equity,minimum_variance,risk_parity,36,1.1598548628091072,0.9079131817390059,1.327134547468042,True
