variant,variant_label,base_method,signal_definition,tilt_strength,first_live_date,last_live_date,observation_count,gross_annualized_return,gross_sharpe_ratio,net_ending_growth_of_1,net_annualized_return,net_annualized_volatility,net_sharpe_ratio,net_maximum_drawdown,average_rebalance_turnover,cumulative_turnover,total_transaction_cost,average_target_weight_hhi,maximum_target_weight_hhi,transaction_cost_bps,delta_net_ending_growth_of_1_vs_base,delta_net_annualized_return_vs_base,delta_net_annualized_volatility_vs_base,delta_net_sharpe_ratio_vs_base,delta_net_maximum_drawdown_vs_base,delta_cumulative_turnover_vs_base
base,Base Equity Minimum Variance,minimum_variance,none,0.0,2021-01-04,2023-12-29,753,0.058527110814716954,0.5176530917765751,1.179079735556171,0.056678171424742185,0.12496157858421826,0.5036651613915859,-0.15723731319033551,0.14515151793157383,5.225454645536658,0.005225454645536659,0.07976003038101612,0.0930935141551166,10.0,0.0,0.0,0.0,0.0,0.0,0.0
plain_sentiment,Plain-VADER tilt,minimum_variance,plain_signal_lag1,0.2,2021-01-04,2023-12-29,753,0.050208650308753544,0.4547142043497799,1.1508178567296736,0.04813337156558939,0.12487572118109941,0.43888797709007304,-0.1533367905442633,0.164268904852833,5.913680574701988,0.005913680574701986,0.07844544388573398,0.09136355676707247,10.0,-0.028261878826497444,-0.008544799859152796,-8.585740311885248e-05,-0.06477718430151286,0.003900522646072213,0.6882259291653297
finance_sentiment,Finance-VADER tilt,minimum_variance,finance_signal_lag1,0.2,2021-01-04,2023-12-29,753,0.05257450760540583,0.47302296846156056,1.1585174715058195,0.05047501300511503,0.12477168917037552,0.45703763952520293,-0.1511312713213978,0.16582331889534144,5.969639480232292,0.005969639480232293,0.07860226340930608,0.0913656677961841,10.0,-0.020562264050351553,-0.006203158419627153,-0.0001898894138427365,-0.04662752186638297,0.006106041868937706,0.7441848346956341
coverage_aware_finance,Coverage-aware finance tilt,minimum_variance,coverage_adjusted_signal_lag1,0.2,2021-01-04,2023-12-29,753,0.052153304263331535,0.46937674060307116,1.1571436744451298,0.05005796822588904,0.12493284526455209,0.45343006860226975,-0.14950607030519114,0.16553431404951105,5.959235305782398,0.0059592353057824,0.07841463090539877,0.09126794213294528,10.0,-0.021936061111041294,-0.006620203198853147,-2.8733319666171542e-05,-0.05023509278931615,0.007731242885144374,0.7337806602457402
