experiment_id,fund_id,fund_name,asset_family,method,method_label,rebalance_schedule,schedule_label,schedule_role,interval_observations,first_live_date,last_live_date,estimation_window,eligible_asset_count,annualization_days,risk_free_rate_annual,transaction_cost_bps,gross_observation_count,gross_ending_growth_of_1,gross_cumulative_return,gross_annualized_return,gross_annualized_arithmetic_return,gross_annualized_volatility,gross_sharpe_ratio,gross_maximum_drawdown,gross_positive_return_share,net_observation_count,net_ending_growth_of_1,net_cumulative_return,net_annualized_return,net_annualized_arithmetic_return,net_annualized_volatility,net_sharpe_ratio,net_maximum_drawdown,net_positive_return_share,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,rebalance_count,average_rebalance_turnover,cumulative_turnover,annualized_turnover,average_target_weight_hhi,maximum_target_weight_hhi,average_crypto_sleeve_weight,total_transaction_cost_rate,cost_drag_ending_growth
combined_maximum_sharpe__biweekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.581402772078077,0.581402772078077,0.16576719836423948,0.17343731601293602,0.20033196086243021,0.8657496051368311,-0.19159242814760458,0.5444887118193891,753,1.570320472922734,0.570320472922734,0.16302676015402318,0.1710785093105217,0.20031244778387608,0.8540583034315679,-0.19192620957619533,0.5444887118193891,0.16302676015402318,0.20031244778387608,0.8540583034315679,-0.19192620957619533,76,0.1854826072387252,14.096678150143115,4.7176134048287715,0.09188685142432577,0.12986222695413827,0.07902066754793936,0.007048339075071559,0.011082299155342978
combined_maximum_sharpe__biweekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.581402772078077,0.581402772078077,0.16576719836423948,0.17343731601293602,0.20033196086243021,0.8657496051368311,-0.19159242814760458,0.5444887118193891,753,1.559314378497896,0.559314378497896,0.16029240077512452,0.16871970260810734,0.20029439608230118,0.8423585777146767,-0.192259882921068,0.5418326693227091,0.16029240077512452,0.20029439608230118,0.8423585777146767,-0.192259882921068,76,0.1854826072387252,14.096678150143115,4.7176134048287715,0.09188685142432577,0.12986222695413827,0.07902066754793936,0.014096678150143118,0.022088393580181
combined_maximum_sharpe__biweekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.581402772078077,0.581402772078077,0.16576719836423948,0.17343731601293602,0.20033196086243021,0.8657496051368311,-0.19159242814760458,0.5444887118193891,753,1.5267481983984623,0.5267481983984623,0.15212566834216745,0.16164328250086413,0.20024901303161016,0.807211381737737,-0.19326025471174202,0.5405046480743692,0.15212566834216745,0.20024901303161016,0.807211381737737,-0.19326025471174202,76,0.1854826072387252,14.096678150143115,4.7176134048287715,0.09188685142432577,0.12986222695413827,0.07902066754793936,0.03524169537535779,0.05465457367961468
combined_maximum_sharpe__daily,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.6706452497413147,0.6706452497413147,0.18738276754829242,0.19127114859568065,0.19756967019854615,0.9681199973835262,-0.1832059497732561,0.5537848605577689,753,1.6357920400654498,0.6357920400654498,0.17903455163511195,0.1842096434898614,0.1975609210116425,0.9324194407810324,-0.18408994601604345,0.5537848605577689,0.17903455163511195,0.1975609210116425,0.9324194407810324,-0.18408994601604345,753,0.056043691316025386,42.200899560967116,14.123010211638396,0.09114396737904618,0.12986222695413827,0.07656351388284446,0.02110044978048356,0.034853209675864916
combined_maximum_sharpe__daily,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.6706452497413147,0.6706452497413147,0.18738276754829242,0.19127114859568065,0.19756967019854615,0.9681199973835262,-0.1832059497732561,0.5537848605577689,753,1.6016642905182932,0.6016642905182932,0.17074462602643248,0.17714813838404223,0.1975529208917129,0.8967123218651099,-0.1849730172209092,0.5524568393094289,0.17074462602643248,0.1975529208917129,0.8967123218651099,-0.1849730172209092,753,0.056043691316025386,42.200899560967116,14.123010211638396,0.09114396737904618,0.12986222695413827,0.07656351388284446,0.04220089956096712,0.0689809592230215
combined_maximum_sharpe__daily,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.6706452497413147,0.6706452497413147,0.18738276754829242,0.19127114859568065,0.19756967019854615,0.9681199973835262,-0.1832059497732561,0.5537848605577689,753,1.5034846949132974,0.5034846949132974,0.14622056222924118,0.1559636230665846,0.19753341580127848,0.7895556426943293,-0.18761668995832226,0.545816733067729,0.14622056222924118,0.19753341580127848,0.7895556426943293,-0.18761668995832226,753,0.056043691316025386,42.200899560967116,14.123010211638396,0.09114396737904618,0.12986222695413827,0.07656351388284446,0.10550224890241777,0.16716055482801728
combined_maximum_sharpe__monthly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.5267252913708815,0.5267252913708815,0.15211988326831882,0.16268932433874267,0.20532071360177606,0.7923668366664754,-0.19331058597506812,0.545816733067729,753,1.5191718827922276,0.5191718827922276,0.1502091437612978,0.16102218822946865,0.20528954830797344,0.7843662259313109,-0.1935327466384128,0.545816733067729,0.1502091437612978,0.20528954830797344,0.7843662259313109,-0.1935327466384128,36,0.2767534149654619,9.963122938756628,3.3342722185480347,0.09192309815129023,0.12986222695413827,0.08092169811683464,0.004981561469378313,0.007553408578653942
combined_maximum_sharpe__monthly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.5267252913708815,0.5267252913708815,0.15211988326831882,0.16268932433874267,0.20532071360177606,0.7923668366664754,-0.19331058597506812,0.545816733067729,753,1.511654488677553,0.5116544886775529,0.1483012284842582,0.15935505212019468,0.20525980092536006,0.7763578226315341,-0.19375487931701407,0.545816733067729,0.1483012284842582,0.20525980092536006,0.7763578226315341,-0.19375487931701407,36,0.2767534149654619,9.963122938756628,3.3342722185480347,0.09192309815129023,0.12986222695413827,0.08092169811683464,0.009963122938756626,0.015070802693328611
combined_maximum_sharpe__monthly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,25.0,753,1.5267252913708815,0.5267252913708815,0.15211988326831882,0.16268932433874267,0.20532071360177606,0.7923668366664754,-0.19331058597506812,0.545816733067729,753,1.489316742314455,0.4893167423144551,0.14259439090568682,0.1543536437923726,0.2051790722648466,0.7522874632805233,-0.19442110944435953,0.5444887118193891,0.14259439090568682,0.2051790722648466,0.7522874632805233,-0.19442110944435953,36,0.2767534149654619,9.963122938756628,3.3342722185480347,0.09192309815129023,0.12986222695413827,0.08092169811683464,0.024907807346891568,0.03740854905642643
combined_maximum_sharpe__weekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,5.0,753,1.5778395623775268,0.5778395623775268,0.1648874831532614,0.17266149640823866,0.20018560667065372,0.8625070467343948,-0.19624189253081858,0.5431606905710491,753,1.5622980625716492,0.5622980625716492,0.16103493405068536,0.16934428471380378,0.20017254424897352,0.8459915686697487,-0.1966858763828293,0.5431606905710491,0.16103493405068536,0.20017254424897352,0.8459915686697487,-0.1966858763828293,151,0.1312866816939692,19.82428893578935,6.634423388869743,0.09162080354139993,0.12986222695413827,0.0777933504352976,0.009912144467894676,0.015541499805877601
