fund_id,fund_name,asset_family,method,rebalance_schedule,first_live_date,last_live_date,annualization_days,risk_free_rate_annual,transaction_cost_bps,gross_observation_count,gross_ending_growth_of_1,gross_cumulative_return,gross_annualized_return,gross_annualized_arithmetic_return,gross_annualized_volatility,gross_sharpe_ratio,gross_maximum_drawdown,gross_positive_return_share,net_observation_count,net_ending_growth_of_1,net_cumulative_return,net_annualized_return,net_annualized_arithmetic_return,net_annualized_volatility,net_sharpe_ratio,net_maximum_drawdown,net_positive_return_share,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,rebalance_count,average_rebalance_turnover,cumulative_turnover,total_transaction_cost,average_target_weight_hhi,maximum_target_weight_hhi,latest_target_weight_hhi,latest_effective_number_of_assets,average_crypto_sleeve_weight,latest_crypto_sleeve_weight,cost_drag_ending_growth,benchmark_fund_id,benchmark_annualized_return,annualized_return_vs_benchmark,tracking_error,information_ratio
combined_equal_weight,Combined Equal Weight,combined,equal_weight,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.5236892003153508,0.5236892003153508,0.15135261955180868,0.16433693011443073,0.2160038524438884,0.7608055516376532,-0.2787245867171574,0.5391766268260292,753,1.5201158699985515,0.5201158699985515,0.15044828353916828,0.16355045987107125,0.2160026107077967,0.7571689033532957,-0.2790308989230822,0.5391766268260292,0.15044828353916828,0.2160026107077967,0.7571689033532957,-0.2790308989230822,36,0.0652791108079452,2.3500479890860273,0.002350047989086027,0.016666666666666656,0.016666666666666663,0.016666666666666663,60.000000000000014,0.16666666666666669,0.16666666666666666,0.0035733303167992947,combined_equal_weight,0.15044828353916828,0.0,0.0,
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.3215584667697307,0.32155846676973066,0.09779925678492352,0.10305471717258533,0.13954025031899603,0.7385304020667662,-0.17855538724873998,0.5431606905710491,753,1.3153357814470847,0.31533578144708474,0.09606664411821852,0.10147454043578259,0.139539136538007,0.727212042107939,-0.17907204203400418,0.5431606905710491,0.09606664411821852,0.139539136538007,0.727212042107939,-0.17907204203400418,36,0.13115884951636525,4.7217185825891494,0.00472171858258915,0.028746807759798,0.03312818637358205,0.02892996559853751,34.56623536567748,0.025742537718596387,0.03871573871613086,0.0062226853226459156,combined_equal_weight,0.15044828353916828,-0.05438163942094976,0.12298922930025229,-0.5047264690450524
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.5267252913708815,0.5267252913708815,0.15211988326831882,0.16268932433874267,0.20532071360177606,0.7923668366664754,-0.19331058597506812,0.545816733067729,753,1.511654488677553,0.5116544886775529,0.1483012284842582,0.15935505212019468,0.20525980092536006,0.7763578226315341,-0.19375487931701407,0.545816733067729,0.1483012284842582,0.20525980092536006,0.7763578226315341,-0.19375487931701407,36,0.2767534149654619,9.963122938756628,0.009963122938756628,0.09192309815129023,0.12986222695413827,0.09160707857177522,10.916186997672765,0.08092169811683464,0.16834039099943887,0.015070802693328611,combined_equal_weight,0.15044828353916828,-0.0021470550549100853,0.13719380304822293,-0.0305801549170699
combined_minimum_variance,Combined Minimum Variance,combined,minimum_variance,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.1855330921656473,0.18553309216564728,0.05861014737812642,0.06479087915675566,0.12516007953667013,0.5176640938277196,-0.15784067886968822,0.5351925630810093,753,1.1793021880628194,0.1793021880628194,0.05674488514710041,0.06302689687449478,0.12515924002787968,0.5035736623237352,-0.15848671364948363,0.5351925630810093,0.05674488514710041,0.12515924002787968,0.5035736623237352,-0.15848671364948363,36,0.14641519604744646,5.270947057708073,0.0052709470577080725,0.07947038697471276,0.09309194684052804,0.0748310032117441,13.36344505726282,0.007255835866586202,0.03185194434424424,0.006230904102827894,combined_equal_weight,0.15044828353916828,-0.09370339839206787,0.16260480052738696,-0.6182078430067359
combined_risk_parity,Combined Risk Parity,combined,risk_parity,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.4779389366501579,0.47793893665015785,0.1396656825297451,0.14388910923613518,0.16201925123320735,0.8880988409767678,-0.19475476838084338,0.545816733067729,753,1.4745061124294498,0.47450611242944984,0.13877911057107628,0.1431110274086986,0.1620225306853937,0.8832785588726769,-0.1949397865841127,0.545816733067729,0.13877911057107628,0.1620225306853937,0.8832785588726769,-0.1949397865841127,36,0.0645828500947676,2.3249826034116334,0.0023249826034116333,0.02015516860460094,0.021067913358604296,0.01957822625021922,51.077150055347985,0.0696463438354578,0.09089115313347534,0.0034328242207080084,combined_equal_weight,0.15044828353916828,-0.011669172968092001,0.08078859102646666,-0.2529989965498542
crypto_equal_weight,Crypto Equal Weight,crypto,equal_weight,monthly,2021-01-01,2023-12-31,365,0.0,10.0,1095,2.773784516186686,1.7737845161866859,0.40504717633695075,0.678707340651091,0.8189033644058298,0.8288002835884541,-0.815713088159332,0.5388127853881278,1095,2.765322526894085,1.765322526894085,0.4036169276329473,0.6776799096225682,0.8188936936246295,0.827555413967088,-0.8158915066664058,0.5388127853881278,0.4036169276329473,0.8188936936246295,0.827555413967088,-0.8158915066664058,36,0.08561925237689434,3.0822930855681965,0.003082293085568196,0.10000000000000003,0.10000000000000003,0.10000000000000003,9.999999999999996,1.0,1.0,0.00846198929260078,crypto_equal_weight,0.4036169276329473,0.0,0.0,
crypto_hierarchical_risk_parity,Crypto Hierarchical Risk Parity,crypto,hierarchical_risk_parity,monthly,2021-01-01,2023-12-31,365,0.0,10.0,1095,2.901163931600154,1.9011639316001538,0.4262339051507613,0.6548099269924009,0.7704401395733975,0.849916681852762,-0.7809412154617921,0.5424657534246575,1095,2.8876346627306813,1.8876346627306813,0.42401341995061137,0.6532440986529204,0.7704322392741741,0.8478929948055431,-0.781381891304364,0.5424657534246575,0.42401341995061137,0.7704322392741741,0.8478929948055431,-0.781381891304364,36,0.1304856949567061,4.697485018441419,0.00469748501844142,0.12300802706700718,0.1357897709960979,0.1307477981684933,7.648312354073532,1.0,1.0,0.013529268869472588,crypto_equal_weight,0.4036169276329473,0.02039649231766405,0.09125246960696333,-0.26778246194207905
crypto_maximum_sharpe,Crypto Maximum Sharpe,crypto,maximum_sharpe,monthly,2021-01-01,2023-12-31,365,0.0,10.0,1095,1.526053786776405,0.526053786776405,0.15130382349408578,0.43456431425188125,0.76346701070099,0.5691985484125617,-0.8256287539665562,0.5287671232876713,1095,1.5138071760662233,0.5138071760662233,0.14821580319092287,0.43186696726459445,0.7634534292442797,0.5656755876937863,-0.826529765240353,0.5287671232876713,0.14821580319092287,0.7634534292442797,0.5656755876937863,-0.826529765240353,36,0.2247789156072251,8.092040961860103,0.008092040961860104,0.24064740871157086,0.25,0.22211618145147705,4.502148350765059,1.0000000000000002,1.0000000000000044,0.012246610710181738,crypto_equal_weight,0.4036169276329473,-0.25540112444202445,0.2756249219756955,-0.8918385920836619
crypto_minimum_variance,Crypto Minimum Variance,crypto,minimum_variance,monthly,2021-01-01,2023-12-31,365,0.0,10.0,1095,4.896506716055047,3.896506716055047,0.6980955277032845,0.8265619170780365,0.7690773528580978,1.0747448406929558,-0.7281975372876692,0.5415525114155251,1095,4.868728220283665,3.868728220283665,0.6948782665112716,0.8246514054097089,0.7690625819455381,1.0722812743321157,-0.7286707552757465,0.5415525114155251,0.6948782665112716,0.7690625819455381,1.0722812743321157,-0.7286707552757465,36,0.15920930569396152,5.731535004982614,0.005731535004982614,0.20545228298422055,0.24999999999999992,0.20204771113219097,4.949326049755366,1.0,1.0000000000000002,0.027778495771381806,crypto_equal_weight,0.4036169276329473,0.2912613388783243,0.2072406814240646,0.7091826507094037
crypto_risk_parity,Crypto Risk Parity,crypto,risk_parity,monthly,2021-01-01,2023-12-31,365,0.0,10.0,1095,3.004209206614982,2.004209206614982,0.4429237802437509,0.6890198151696282,0.7989398287789632,0.8624176569375341,-0.7987496533018215,0.536986301369863,1095,2.994545726322321,1.994545726322321,0.44137499297617566,0.6879368978329472,0.7989300475436181,0.8610727559290963,-0.7989609270739229,0.536986301369863,0.44137499297617566,0.7989300475436181,0.8610727559290963,-0.7989609270739229,36,0.0902431113900689,3.2487520100424803,0.00324875201004248,0.10446598557266457,0.10790363846927392,0.10626805045221785,9.410166044681867,1.0,1.0,0.009663480292660953,crypto_equal_weight,0.4036169276329473,0.03775806534322834,0.03656023067153892,0.2805504238342821
equity_equal_weight,Equity Equal Weight,equity,equal_weight,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.4272168148150308,0.4272168148150308,0.12642379781817437,0.13205338524492422,0.16117980666586584,0.819292366559775,-0.2024921015251171,0.5365205843293492,753,1.4244173305715002,0.4244173305715002,0.1256838875364572,0.13139966616595053,0.16120219497345306,0.8151233064015633,-0.20263926950823918,0.5365205843293492,0.1256838875364572,0.16120219497345306,0.8151233064015633,-0.20263926950823918,36,0.05426041297036968,1.9533748669333086,0.0019533748669333085,0.020000000000000004,0.020000000000000004,0.020000000000000004,49.99999999999999,0.0,0.0,0.0027994842435306033,equity_equal_weight,0.1256838875364572,0.0,0.0,
equity_hierarchical_risk_parity,Equity Hierarchical Risk Parity,equity,hierarchical_risk_parity,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.2712197770166356,0.2712197770166356,0.0836240140807396,0.08967637358538613,0.13682048923271323,0.6554308794559177,-0.17385837413085137,0.5378486055776892,753,1.2644991483743209,0.26449914837432087,0.08170340565611678,0.08790250891687029,0.13682478025863068,0.6424458256078621,-0.17436848139849082,0.5365205843293492,0.08170340565611678,0.13682478025863068,0.6424458256078621,-0.17436848139849082,36,0.14723546025048606,5.300476569017499,0.0053004765690175,0.02858671709280712,0.031462012879279695,0.03040962799680955,32.88432203461732,0.0,0.0,0.006720628642314708,equity_equal_weight,0.1256838875364572,-0.04398048188034043,0.05114589528972356,-0.8504525534783208
equity_maximum_sharpe,Equity Maximum Sharpe,equity,maximum_sharpe,monthly,2021-01-04,2023-12-29,252,0.0,10.0,753,1.336252483929456,0.33625248392945606,0.10186915143497455,0.11086431650082433,0.16630021217387572,0.6666516840333901,-0.1913007181241334,0.5564409030544488,753,1.323326068509816,0.32332606850981604,0.09829042855426362,0.10760073116080754,0.16624444976585825,0.6472440512291051,-0.1917399702884729,0.5551128818061088,0.09829042855426362,0.16624444976585825,0.6472440512291051,-0.1917399702884729,36,0.2708862170450455,9.751903813621638,0.009751903813621638,0.09082603553827906,0.09999999999999802,0.09316534063466834,10.733605364266587,0.0,0.0,0.012926415419640014,equity_equal_weight,0.1256838875364572,-0.027393458982193586,0.1009617534886887,-0.23572228277324156
