variant,variant_label,base_method,signal_definition,tilt_strength,first_live_date,last_live_date,observation_count,gross_annualized_return,gross_sharpe_ratio,net_ending_growth_of_1,net_annualized_return,net_annualized_volatility,net_sharpe_ratio,net_maximum_drawdown,average_rebalance_turnover,cumulative_turnover,total_transaction_cost,average_target_weight_hhi,maximum_target_weight_hhi,transaction_cost_bps,delta_net_ending_growth_of_1_vs_base,delta_net_annualized_return_vs_base,delta_net_annualized_volatility_vs_base,delta_net_sharpe_ratio_vs_base,delta_net_maximum_drawdown_vs_base,delta_cumulative_turnover_vs_base,is_primary_strength
base,Base Equity Minimum Variance,minimum_variance,none,0.0,2021-01-04,2023-12-29,753,0.058527110814716954,0.5176530917765751,1.179079735556171,0.056678171424742185,0.12496157858421826,0.5036651613915859,-0.15723731319033551,0.14515151793157383,5.225454645536658,0.005225454645536659,0.07976003038101612,0.0930935141551166,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False
coverage_aware_finance,Coverage-aware finance tilt,minimum_variance,coverage_adjusted_signal_lag1,0.1,2021-01-04,2023-12-29,753,0.05553889458734895,0.49535241366937144,1.1688719662173004,0.05360779943859395,0.1248494229488717,0.4806899175714084,-0.15262681842818993,0.152042229810502,5.473520273178072,0.00547352027317807,0.07890825843772616,0.09184782747673945,10.0,-0.010207769338870687,-0.003070371986148235,-0.00011215563534655582,-0.022975243820177516,0.004610494762145589,0.24806562764141393,False
coverage_aware_finance,Coverage-aware finance tilt,minimum_variance,coverage_adjusted_signal_lag1,0.2,2021-01-04,2023-12-29,753,0.052153304263331535,0.46937674060307116,1.1571436744451298,0.05005796822588904,0.12493284526455209,0.45343006860226975,-0.14950607030519114,0.16553431404951105,5.959235305782398,0.0059592353057824,0.07841463090539877,0.09126794213294528,10.0,-0.021936061111041294,-0.006620203198853147,-2.8733319666171542e-05,-0.05023509278931615,0.007731242885144374,0.7337806602457402,True
coverage_aware_finance,Coverage-aware finance tilt,minimum_variance,coverage_adjusted_signal_lag1,0.4,2021-01-04,2023-12-29,753,0.04595942467161196,0.4205640316217182,1.1354584876557983,0.04343088858765931,0.12557729851714777,0.4013157852489136,-0.14816164043208335,0.20104885723449115,7.237758860441681,0.007237758860441681,0.07825549735546877,0.08987513905409936,10.0,-0.043621247900372806,-0.013247282837082874,0.0006157199329295121,-0.10234937614267231,0.009075672758252162,2.012304214905023,False
