variant,variant_label,kind,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,view_scale_annual,is_primary,risk_aversion,tau,turnover,transaction_cost,covariance_trace,covariance_condition_number,covariance_ridge_added,expected_return_min,expected_return_max,solver_success,solver_status,solver_iterations,active_view_count,mean_active_confidence,maximum_active_confidence,minimum_view_uncertainty,maximum_view_uncertainty,posterior_return_shift_l2,maximum_absolute_posterior_return_shift,l1_weight_tilt_from_prior,maximum_weight_sum_residual,maximum_bound_residual
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,0.01,False,2.5,0.05,1.0,0.001,13.184233797269265,708.2401086386429,2.6368467330853855e-09,-0.3492732395247833,0.9488143251997084,True,0,29,7,0.605628407551529,0.8956916099773243,0.0006310293800666183,0.012691368878791482,0.0716948189399835,0.019138766496218318,0.4151762622934577,1.1102230246251565e-16,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,2020-01-31,2021-01-29,2021-02-01,252,0.01,False,2.5,0.05,0.1897021821213592,0.0001897021821213592,13.465257787911993,661.1466828998957,2.693051530651883e-09,-0.23740683868214907,0.9237121823064337,True,0,21,10,0.5687647978132376,0.95,0.0002510584828448435,0.03708747189916257,0.025844539355278966,0.011399884887512701,0.13737969835244576,1.1102230246251565e-16,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-03-01,2020-02-28,2021-02-26,2021-03-01,252,0.01,False,2.5,0.05,0.16229706780742834,0.00016229706780742834,13.324354398206259,663.0315596849582,2.664870852992543e-09,-0.09602128620994455,0.9459226944620321,True,0,29,10,0.48763503086419746,0.8641975308641975,0.000847917869116385,0.03069548399716524,0.048076328825711855,0.01730130015067971,0.3571310217397335,0.0,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-04-01,2020-04-01,2021-03-31,2021-04-01,252,0.01,False,2.5,0.05,0.20130950073103462,0.00020130950073103462,7.651657660345755,384.1065013271364,1.530331516765836e-09,-0.060127039234835644,1.226556819766659,True,0,30,9,0.5676377844271062,0.95,0.00010888646344379198,0.011854440573227598,0.051464258173642106,0.018889800483354202,0.6127900204444381,0.0,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-05-03,2020-05-01,2021-04-30,2021-05-03,252,0.01,False,2.5,0.05,0.4199301570253477,0.0004199301570253477,6.276780580370753,349.63417521830985,1.2553561035205896e-09,-0.2081438801394524,0.8493961050735777,True,0,29,9,0.5879095230917565,0.925,0.00014768833304815794,0.021454415318469852,0.035368881269851014,0.011926700584297734,0.4433105379483143,0.0,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-06-01,2020-06-01,2021-05-28,2021-06-01,252,0.01,False,2.5,0.05,0.5691156360228096,0.0005691156360228095,5.719485651015339,338.35690348588344,1.1438971187640966e-09,-0.09446757920356907,1.0236878148723123,True,0,36,9,0.6549415875931026,0.95,8.49376546691046e-05,0.006187864416689747,0.06982617121717008,0.023812011852083155,0.9150380058824444,0.0,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-07-01,2020-07-01,2021-06-30,2021-07-01,252,0.01,False,2.5,0.05,0.6495769637671307,0.0006495769637671307,4.93436282698919,284.1972655923129,9.868725555291125e-10,-0.04517062980827402,0.9353134194385742,True,0,34,7,0.5846671069743319,0.9375,8.390973447078886e-05,0.0053018602079844025,0.041273274065378174,0.01854351354859205,0.7260211762142657,0.0,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-08-02,2020-07-31,2021-07-30,2021-08-02,252,0.01,False,2.5,0.05,0.3469591690328735,0.0003469591690328735,4.644660133462096,291.6771084447581,9.289320174030991e-10,-0.03111480254552568,0.9864628459904821,True,0,33,9,0.38003317260011626,0.9487534626038782,6.625508439128137e-05,0.028723463388693887,0.024338498437215188,0.007009703689291248,0.42736069151855677,0.0,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-09-01,2020-09-01,2021-08-31,2021-09-01,252,0.01,False,2.5,0.05,0.37338282545143875,0.00037338282545143877,4.51621493339901,314.3404924254211,9.032429776473723e-10,-0.07863987065770972,1.0546679801982481,True,0,34,10,0.4846874298540965,0.95,6.135817606069928e-05,0.012861598495731501,0.037863045920147914,0.011402631752365923,0.5419482134922532,0.0,0.0
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-10-01,2020-10-01,2021-09-30,2021-10-01,252,0.01,False,2.5,0.05,0.30947428959397805,0.00030947428959397804,4.295516232029762,344.8846496829951,8.591032378149199e-10,-0.12416434745014902,1.315533795988761,True,0,32,10,0.7175787037037036,0.95,8.903655831013392e-05,0.003699157548523793,0.04231686368370247,0.015225843880688372,0.6750747293990355,2.220446049250313e-16,0.0
