fund_id,fund_name,asset_family,method,rebalance_schedule,rebalance_number,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,annualization_days,eligible_asset_count,turnover,transaction_cost,transaction_cost_bps,covariance_trace,covariance_condition_number,covariance_ridge_added,expected_return_min,expected_return_max,solver_success,solver_status,solver_message,solver_iterations,valid_start_count,objective_value,expected_portfolio_return,expected_portfolio_volatility,expected_sharpe,weight_sum_residual,maximum_bound_residual,minimum_weight,maximum_weight,crypto_sleeve_weight,weight_hhi,risk_contribution_dispersion,effective_number_of_bets,effective_bet_ratio
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,21.157579991903326,1033.413620149154,3.526263296721254e-09,-0.3492732395247833,1.982593873089236,True,0,Optimization terminated successfully,16,7,-1.641604322594861,0.23604536477731064,0.27557890423729825,0.8565436655269314,1.3433698597964394e-13,0.0,0.0,0.09999999999997353,3.861096000378537e-13,0.09505498263376556,0.03572213854490915,5.163446705031856,0.08605744508386427
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,2,2021-02-01,2020-01-31,2021-01-29,2021-02-01,252,252,60,0.16885618146285164,0.00016885618146285163,10.0,22.44822153978953,1091.1155307785195,3.741370219217885e-09,-0.23740683868214907,2.7597000301127537,True,0,Optimization terminated successfully,13,7,-1.6793198642392728,0.2182724872448725,0.2854746946776239,0.7645948706289348,3.8413716652030416e-14,0.0,0.0,0.09999999999999903,6.071991889563783e-14,0.09999999999999236,0.0383172898827274,5.361907905360449,0.0893651317560075
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,3,2021-03-01,2020-02-28,2021-02-26,2021-03-01,252,252,60,0.2231409387588166,0.00022314093875881662,10.0,23.014831526063983,1144.0399490852305,3.835805215985945e-09,-0.09602128620994455,2.9761046427603395,True,0,Optimization terminated successfully,5,7,-1.751560559024588,0.3125395722142185,0.26224282248381386,1.1917945713595615,1.5314194357074484e-11,0.0,0.0,0.1,3.2160925004543355e-12,0.0984709258743421,0.03706441087439703,5.763590084011072,0.09605983473351785
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,4,2021-04-01,2020-04-01,2021-03-31,2021-04-01,252,252,60,0.40735909356248473,0.00040735909356248473,10.0,15.539452910196802,662.0119356502846,2.5899087924670455e-09,-0.060127039234835644,2.867691654241286,True,0,Optimization terminated successfully,7,7,-2.4758723205033077,0.28342410841656906,0.15463150925584074,1.8329000976614576,9.271943213207123e-10,0.0,0.0,0.1,0.02987929908562054,0.09580968500899939,0.036701571195904864,11.892076291794512,0.19820127152990852
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,5,2021-05-03,2020-05-01,2021-04-30,2021-05-03,252,252,60,0.3264049283143469,0.0003264049283143469,10.0,15.299208835217478,797.3610584587759,2.5498681137042323e-09,-0.2081438801394524,2.7040908911882555,True,0,Optimization terminated successfully,25,7,-2.81763411374784,0.22161762592873777,0.13499222966321953,1.6417065373439084,9.203748874142548e-13,0.0,0.0,0.1,0.04075015194660375,0.09434197922600451,0.035519728501512346,16.73720546829405,0.2789534244715675
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,6,2021-06-01,2020-06-01,2021-05-28,2021-06-01,252,252,60,0.4938028177045902,0.0004938028177045902,10.0,19.13689618527403,1412.0335165734627,3.1894826656508454e-09,-0.09446757920356907,2.5441974199957964,True,0,Optimization terminated successfully,16,7,-2.7666143536468515,0.23703295555835888,0.12810500134979444,1.850302119830072,4.3254511084001024e-10,0.0,0.0,0.1,0.02545474805796159,0.0934270931691551,0.034819217700464804,15.90469507935247,0.26507825132254115
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,7,2021-07-01,2020-07-01,2021-06-30,2021-07-01,252,252,60,0.37841150047199906,0.00037841150047199907,10.0,19.25250895118555,1689.7163954840023,3.2087514597767435e-09,-0.04517062980827402,2.4942228399591873,True,0,Optimization terminated successfully,25,7,-2.8658968931357984,0.2065137883161716,0.11701914706235797,1.7647863063479954,3.752553823233029e-14,0.0,0.0,0.1,0.016324205650687897,0.09703832746364244,0.03789732623741053,17.564799890437197,0.29274666484061995
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,8,2021-08-02,2020-07-31,2021-07-30,2021-08-02,252,252,60,0.12442942125005174,0.00012442942125005175,10.0,19.050136395589725,1995.4538598721672,3.1750227008480616e-09,-0.03111480254552568,2.133926362043439,True,0,Optimization terminated successfully,14,7,-2.9229844280406,0.20529958505011373,0.10896493059706516,1.884088613879622,5.10702591327572e-13,0.0,0.0,0.1,0.01687529948379425,0.09459816353434639,0.0355224143984617,18.596705252024197,0.3099450875337366
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,9,2021-09-01,2020-09-01,2021-08-31,2021-09-01,252,252,60,0.08525024158572642,8.525024158572641e-05,10.0,19.19628066223325,2130.421906888042,3.1993800783784072e-09,-0.07863987065770972,2.5355819840145335,True,0,Optimization terminated successfully,14,7,-2.9979140109154097,0.20686335112897491,0.10723001458492772,1.9291553016169383,1.7963408538435033e-12,0.0,0.0,0.1,0.01771369694778016,0.09376339982990203,0.035756407245692144,20.043682381643144,0.33406137302738576
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,10,2021-10-01,2020-10-01,2021-09-30,2021-10-01,252,252,60,0.4546499113302885,0.00045464991133028847,10.0,19.277343381734276,2463.7964940943734,3.2128905314934743e-09,-0.12416434745014902,2.3815964347981127,True,0,Optimization terminated successfully,19,7,-3.0068848312823953,0.191326720445897,0.10633227403086717,1.7993287756674592,8.63444871157526e-11,0.0,0.0,0.1,0.011617643328106407,0.09410896359501499,0.03551866307579644,20.224299586761127,0.3370716597793521
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,11,2021-11-01,2020-10-30,2021-10-29,2021-11-01,252,252,60,0.36491238466366843,0.00036491238466366844,10.0,19.338376758386744,2619.1166455316716,3.2230627608338288e-09,-0.03804484144889364,2.5476784819297986,True,0,Optimization terminated successfully,24,7,-3.123390524362875,0.21575952691625494,0.10434889870201637,2.0676742121868292,4.878319970202938e-13,0.0,0.0,0.09999999999991975,0.007082951762421026,0.09499116244521262,0.03578193898931219,22.723293059812136,0.37872155099686894
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,12,2021-12-01,2020-12-01,2021-11-30,2021-12-01,252,252,60,0.5821003885434135,0.0005821003885434135,10.0,18.426989818738598,2669.717009456781,3.0711649390781164e-09,-0.17349452421536093,1.9218005257051143,True,0,Optimization terminated successfully,24,7,-3.049891254815012,0.15633478630797623,0.1070930816969087,1.4598028540296353,9.459100169806334e-14,0.0,0.0,0.1,0.008468095912930339,0.09412904641080176,0.036019758563739936,21.113048355350692,0.3518841392558449
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,13,2022-01-03,2021-01-04,2021-12-31,2022-01-03,252,252,60,0.6042207788993597,0.0006042207788993597,10.0,17.698271806197972,2666.622618322197,2.949711938202543e-09,-0.12605950714046,1.882587306240429,True,0,Optimization terminated successfully,14,7,-3.106852685609103,0.11027956138594074,0.10846812811914051,1.0167001431499818,3.0375701953744283e-13,0.0,0.0,0.1,8.651454030048802e-14,0.09563917442446204,0.03776830790622526,22.350589255449595,0.3725098209241599
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,14,2022-02-01,2021-02-02,2022-01-31,2022-02-01,252,252,60,0.34310166197721237,0.00034310166197721237,10.0,16.249425250724453,2851.3405090359306,2.7082375147050344e-09,-0.26246068625737806,1.7523508442205948,True,0,Optimization terminated successfully,13,7,-3.045441495983425,0.1812989268292421,0.10824497210912642,1.6748946699017746,7.978062654956375e-13,0.0,0.0,0.099999999999958,0.0022344892577060294,0.0950448087153589,0.03634406309070071,21.019309095192607,0.3503218182532101
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,15,2022-03-01,2021-03-02,2022-02-28,2022-03-01,252,252,60,0.3368495045456022,0.0003368495045456022,10.0,15.6446971387369,2501.8334143156535,2.6074494970483213e-09,-0.46865655744791945,1.8126264661629579,True,0,Optimization terminated successfully,15,7,-2.9682741307527434,0.07261621420842496,0.1061968746803667,0.683788618327861,2.605424764823283e-10,0.0,0.0,0.1,0.008604160942318851,0.09369139387897263,0.036113798959343524,19.4583081042933,0.324305135071555
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,16,2022-04-01,2021-04-05,2022-03-31,2022-04-01,252,252,60,0.11929274731474394,0.00011929274731474395,10.0,15.508194418583997,2657.7874311998767,2.5846990439170094e-09,-0.30439771676211014,1.885652709704718,True,0,Optimization terminated successfully,25,7,-3.0153098407011267,0.08782345810915428,0.1067936235977687,0.8223661221566531,1.2256862191861728e-13,0.0,0.0,0.09999999999998443,0.00728419998142345,0.09864927914244631,0.0381070850310738,20.395409289571866,0.3399234881595311
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,17,2022-05-02,2021-05-03,2022-04-29,2022-05-02,252,252,60,0.13883143695035557,0.00013883143695035558,10.0,14.616939598090791,2268.0705823024423,2.4361565753202328e-09,-0.8113680578388313,0.9388799704010586,True,0,Optimization terminated successfully,13,7,-2.807680027517785,0.06659976423124299,0.11796824309065129,0.5645567187100108,3.482899524342997e-10,0.0,0.0,0.1,0.01133893992623882,0.09629430589085966,0.03672087013636428,16.571428330591587,0.2761904721765264
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,18,2022-06-01,2021-06-02,2022-05-31,2022-06-01,252,252,60,0.2484484816232833,0.0002484484816232833,10.0,11.427291522924937,1749.1168499859352,1.9045485681086706e-09,-1.3313647804876834,1.0545687899640876,True,0,Optimization terminated successfully,8,7,-2.652488289797394,0.10356066959853098,0.119668649515253,0.8653951558576845,1.1286527268339341e-12,0.0,0.0,0.09999999999995085,0.019359079153709418,0.09687773205971767,0.037645738260269256,14.189301849670152,0.2364883641611692
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,19,2022-07-01,2021-07-01,2022-06-30,2022-07-01,252,252,60,0.06928916346965465,6.928916346965465e-05,10.0,11.39417321293967,1728.2897413627395,1.8990288498329904e-09,-1.3731545680323536,0.8011361548468544,True,0,Optimization terminated successfully,12,7,-2.485301190077824,0.06639531673992531,0.12984508141452397,0.5113425631269125,1.0533796057643485e-12,0.0,0.0,0.1,0.007588839081998727,0.09448484272219325,0.037288237087657966,12.004735417572967,0.2000789236262161
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,20,2022-08-01,2021-07-30,2022-07-29,2022-08-01,252,252,60,0.18297002854126806,0.00018297002854126808,10.0,11.969160269844172,1745.9274188145564,1.9948600250254287e-09,-1.124999905167706,1.0610827829850287,True,0,Optimization terminated successfully,13,7,-2.4476363155064083,0.04604322719282102,0.1288838663561468,0.35724585624696464,1.5400791752995246e-11,0.0,0.0,0.1,0.007694755992835594,0.09857946734252077,0.0374939652633561,11.560987870358042,0.19268313117263405
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,21,2022-09-01,2021-09-01,2022-08-31,2022-09-01,252,252,60,0.1925603046970689,0.00019256030469706889,10.0,11.88356948842717,1737.9821098442574,1.9805948949319128e-09,-1.791651518649385,1.1828191271343909,True,0,Optimization terminated successfully,12,7,-2.4881629004124473,0.08353420976146814,0.12969382622520795,0.6440877888544552,1.6431300764452317e-13,0.0,0.0,0.0999999999999896,0.006286415780571999,0.09333857715923592,0.03564951690108709,12.039138695611534,0.20065231159352556
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,22,2022-10-03,2021-10-01,2022-09-30,2022-10-03,252,252,60,0.1386537964294506,0.0001386537964294506,10.0,11.7416379889912,1698.8803108499346,1.9569396452624707e-09,-1.6131078797075316,0.8913308032260187,True,0,Optimization terminated successfully,13,7,-2.3747471576763894,0.07032893718928264,0.13826083305142958,0.5086685479691998,3.2240876635114546e-13,0.0,0.0,0.1,0.028729312862042427,0.09378170508935048,0.035306742893282075,10.748295218544312,0.1791382536424052
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,23,2022-11-01,2021-11-01,2022-10-31,2022-11-01,252,252,60,0.08731845953325074,8.731845953325073e-05,10.0,11.868531637254668,1529.6921907522328,1.9780885864282257e-09,-1.7028483801535979,0.9320822595695339,True,0,Optimization terminated successfully,7,7,-2.2428874172906594,0.17511237149929498,0.15094945873831372,1.1600728678522136,1.5716317136593716e-12,0.0,0.0,0.1,0.04299930862395885,0.09509801935583173,0.035786395053247,9.420492949274077,0.15700821582123461
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,24,2022-12-01,2021-12-01,2022-11-30,2022-12-01,252,252,60,0.1528207362087344,0.0001528207362087344,10.0,12.511759456409925,1741.479417358475,2.0852932218820557e-09,-1.4992075946870713,1.012398262304997,True,0,Optimization terminated successfully,7,7,-2.188950416958906,0.35102193846697693,0.15374449460593279,2.2831512722890794,2.205347016115411e-12,0.0,0.0,0.1,0.02670892451182955,0.096084948395057,0.03703336866218543,8.925839786448675,0.14876399644081126
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,25,2023-01-03,2021-12-31,2022-12-30,2023-01-03,252,252,60,0.22235394932898261,0.00022235394932898262,10.0,12.204746130223773,1687.7212445509294,2.034124334696052e-09,-1.6878110548244987,0.9359017507349877,True,0,Optimization terminated successfully,22,7,-2.1853209715846584,0.2485767284393702,0.16374334649540245,1.5180875055973628,3.064215547965432e-14,0.0,0.0,0.1,0.03532712638841468,0.09543058644004458,0.03748370580318218,8.893502656944761,0.1482250442824127
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,26,2023-02-01,2022-01-31,2023-01-31,2023-02-01,252,252,60,0.21495182802541757,0.00021495182802541758,10.0,12.050344039961132,1534.2625053683762,2.0083906532429493e-09,-0.9061169181647154,0.6931753816190576,True,0,Optimization terminated successfully,15,7,-2.216640642692708,0.20422448812813287,0.1648725322650339,1.2386810909159836,2.5790480862042386e-13,0.0,0.0,0.1,0.010114506660909168,0.0981817050120256,0.03813330879815121,9.176452047189576,0.1529408674531596
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,27,2023-03-01,2022-02-28,2023-02-28,2023-03-01,252,252,60,0.29488984025191856,0.00029488984025191856,10.0,11.707887040687611,1718.4028867774784,1.9513144872681243e-09,-1.0331553358389942,0.560747599864184,True,0,Optimization terminated successfully,15,7,-2.167660978559383,0.16082890964009441,0.15438747273067233,1.0417225361325728,1.645350522494482e-13,0.0,0.0,0.1,0.02608375883303211,0.09614397318311788,0.036393488191911634,8.737822166296993,0.14563036943828322
