variant,variant_label,kind,view_scale_annual,is_primary,first_live_date,last_live_date,observation_count,ending_growth_of_1,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,average_rebalance_turnover,cumulative_turnover,total_transaction_cost,average_target_weight_hhi,maximum_target_weight_hhi,latest_nonzero_holding_count,delta_ending_growth_of_1_vs_reference,delta_annualized_return_vs_reference,delta_annualized_volatility_vs_reference,delta_sharpe_ratio_vs_reference,delta_maximum_drawdown_vs_reference,delta_average_rebalance_turnover_vs_reference
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,0.01,False,2021-01-04,2023-12-29,753,1.1025389582498646,0.03320765407893611,0.1504370131252822,0.2923351576518449,-0.2444174359332092,0.5012324144426381,18.044366919934973,0.01804436691993497,0.04137065912655384,0.06605297634816526,23,-0.2209221581203551,-0.06512028290306637,0.005132602399695291,-0.42584126057868965,-0.059338716679765535,0.4425254289117545
black_litterman_200bp,Black-Litterman sentiment (2% annual view scale),black_litterman,0.02,True,2021-01-04,2023-12-29,753,1.0304954770244432,0.01010384003041609,0.15737328710388454,0.1425352344016214,-0.25715459490750636,0.6510486412815549,23.43775108613598,0.023437751086135977,0.05927509790977578,0.0846163596427949,14,-0.29296563934577646,-0.0882240969515864,0.012068876378297622,-0.5756411838289132,-0.0720758756540627,0.5923416557506713
black_litterman_400bp,Black-Litterman sentiment (4% annual view scale),black_litterman,0.04,False,2021-01-04,2023-12-29,753,0.9652285635147664,-0.011773921721117575,0.1667491414093104,0.012310684733269685,-0.2860429756302073,0.7272878744551785,26.182363480386424,0.026182363480386425,0.07527654027061642,0.09373370093290531,13,-0.3582325528554533,-0.11010185870312006,0.02144473068372349,-0.7058657334972649,-0.10096425637676365,0.6685808889242949
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,0.0,False,2021-01-04,2023-12-29,753,1.268094793036874,0.08273180458740015,0.14514080674001226,0.6202529125105086,-0.18709422257535602,0.13777241857731795,4.959807068783446,0.004959807068783447,0.023193182862791095,0.024915478734076953,50,-0.05536632333334568,-0.015596132394602336,-0.00016360398557466183,-0.09792350572002595,-0.0020155033219123597,0.07906543304643435
risk_parity_reference,Risk Parity reference,base,0.0,False,2021-01-04,2023-12-29,753,1.3234611163702197,0.09832793698200248,0.14530441072558692,0.7181764182305346,-0.18507871925344366,0.058706985530883604,2.1134514791118097,0.00211345147911181,0.02238383488290619,0.0229561268463581,50,0.0,0.0,0.0,0.0,0.0,0.0
