experiment_id,fund_id,fund_name,asset_family,method,method_label,rebalance_schedule,schedule_label,schedule_role,interval_observations,first_live_date,last_live_date,estimation_window,eligible_asset_count,annualization_days,risk_free_rate_annual,transaction_cost_bps,gross_observation_count,gross_ending_growth_of_1,gross_cumulative_return,gross_annualized_return,gross_annualized_arithmetic_return,gross_annualized_volatility,gross_sharpe_ratio,gross_maximum_drawdown,gross_positive_return_share,net_observation_count,net_ending_growth_of_1,net_cumulative_return,net_annualized_return,net_annualized_arithmetic_return,net_annualized_volatility,net_sharpe_ratio,net_maximum_drawdown,net_positive_return_share,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,rebalance_count,average_rebalance_turnover,cumulative_turnover,annualized_turnover,average_target_weight_hhi,maximum_target_weight_hhi,average_crypto_sleeve_weight,total_transaction_cost_rate,cost_drag_ending_growth
combined_maximum_sharpe__biweekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.581402772078077,0.581402772078077,0.16576719836423948,0.17343731601293602,0.20033196086243021,0.8657496051368311,-0.19159242814760458,0.5444887118193891,753,1.559314378497896,0.559314378497896,0.16029240077512452,0.16871970260810734,0.20029439608230118,0.8423585777146767,-0.192259882921068,0.5418326693227091,0.16029240077512452,0.20029439608230118,0.8423585777146767,-0.192259882921068,76,0.1854826072387252,14.096678150143115,4.7176134048287715,0.09188685142432577,0.12986222695413827,0.07902066754793936,0.014096678150143118,0.022088393580181
combined_maximum_sharpe__daily,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.6706452497413147,0.6706452497413147,0.18738276754829242,0.19127114859568065,0.19756967019854615,0.9681199973835262,-0.1832059497732561,0.5537848605577689,753,1.6016642905182932,0.6016642905182932,0.17074462602643248,0.17714813838404223,0.1975529208917129,0.8967123218651099,-0.1849730172209092,0.5524568393094289,0.17074462602643248,0.1975529208917129,0.8967123218651099,-0.1849730172209092,753,0.056043691316025386,42.200899560967116,14.123010211638396,0.09114396737904618,0.12986222695413827,0.07656351388284446,0.04220089956096712,0.0689809592230215
combined_maximum_sharpe__monthly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.5267252913708815,0.5267252913708815,0.15211988326831882,0.16268932433874267,0.20532071360177606,0.7923668366664754,-0.19331058597506812,0.545816733067729,753,1.511654488677553,0.5116544886775529,0.1483012284842582,0.15935505212019468,0.20525980092536006,0.7763578226315341,-0.19375487931701407,0.545816733067729,0.1483012284842582,0.20525980092536006,0.7763578226315341,-0.19375487931701407,36,0.2767534149654619,9.963122938756628,3.3342722185480347,0.09192309815129023,0.12986222695413827,0.08092169811683464,0.009963122938756626,0.015070802693328611
combined_maximum_sharpe__weekly,combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,Maximum Sharpe,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.5778395623775268,0.5778395623775268,0.1648874831532614,0.17266149640823866,0.20018560667065372,0.8625070467343948,-0.19624189253081858,0.5431606905710491,753,1.5469080948651217,0.5469080948651217,0.15719473828926755,0.16602707301936892,0.20016094482036692,0.8294678723083008,-0.1971296440020338,0.5431606905710491,0.15719473828926755,0.20016094482036692,0.8294678723083008,-0.1971296440020338,151,0.1312866816939692,19.82428893578935,6.634423388869743,0.09162080354139993,0.12986222695413827,0.0777933504352976,0.01982428893578935,0.030931467512405053
combined_risk_parity__biweekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,biweekly,Every 10 days,diagnostic experiment,10,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.4665686860098777,0.46656868600987766,0.13672389417099517,0.14095751978928656,0.15988210729907645,0.8816341126002959,-0.19958644873507358,0.5444887118193891,753,1.4622965362276483,0.4622965362276483,0.13561465305936293,0.1399820338266629,0.15989020893809258,0.8754884664692767,-0.19980809510223796,0.5444887118193891,0.13561465305936293,0.15989020893809258,0.8754884664692767,-0.19980809510223796,76,0.03835322315453065,2.9148449597443293,0.9754859626236002,0.020181292439622807,0.02116205679805874,0.06949679585022986,0.0029148449597443302,0.00427214978222934
combined_risk_parity__daily,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,daily,Daily,diagnostic experiment,1,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.466442420569165,0.4664424205691651,0.13669114086941625,0.1407922570754334,0.15903429512635736,0.885294941971918,-0.20116720979947078,0.5511288180610889,753,1.4570089016225034,0.4570089016225034,0.1342387567775376,0.13863305785925054,0.15904436557214546,0.8716628052841271,-0.2018847349474202,0.5511288180610889,0.1342387567775376,0.15904436557214546,0.8716628052841271,-0.2018847349474202,753,0.008568250857868442,6.451892895974937,2.1591992161828473,0.020196202782757133,0.021349122217249005,0.06901429420205463,0.006451892895974938,0.009433518946661668
combined_risk_parity__monthly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,monthly,Monthly,primary,,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.4779389366501579,0.47793893665015785,0.1396656825297451,0.14388910923613518,0.16201925123320735,0.8880988409767678,-0.19475476838084338,0.545816733067729,753,1.4745061124294498,0.47450611242944984,0.13877911057107628,0.1431110274086986,0.1620225306853937,0.8832785588726769,-0.1949397865841127,0.545816733067729,0.13877911057107628,0.1620225306853937,0.8832785588726769,-0.1949397865841127,36,0.0645828500947676,2.3249826034116334,0.7780818274365626,0.02015516860460094,0.021067913358604303,0.0696463438354578,0.0023249826034116338,0.0034328242207080084
combined_risk_parity__weekly,combined_risk_parity,Combined Risk Parity,combined,risk_parity,Risk Parity,weekly,Every 5 days,diagnostic experiment,5,2021-01-04,2023-12-29,252,60,252,0.0,10.0,753,1.4579073225232069,0.45790732252320687,0.13447276904431327,0.1388678747882782,0.15922251355592767,0.87216230724495,-0.20026192430697953,0.549800796812749,753,1.4526588270134428,0.45265882701344284,0.13310433017710044,0.13766228888391113,0.15923479508833166,0.8645239176999368,-0.20060627378553464,0.549800796812749,0.13310433017710044,0.15923479508833166,0.8645239176999368,-0.20060627378553464,151,0.0238569900659204,3.6024054999539805,1.2055859043670691,0.020194323344270067,0.02116205679805874,0.06912889044491662,0.0036024054999539805,0.0052484955097640285
