fund_id,fund_name,asset_family,method,first_live_date,last_live_date,growth_of_1_net,annualized_return_net,annualized_volatility_net,sharpe_ratio_net,maximum_drawdown_net,average_rebalance_turnover,cumulative_turnover,latest_effective_number_of_assets,annualized_return_vs_benchmark
combined_equal_weight,Combined Equal Weight,combined,equal_weight,2021-01-04,2023-12-29,1.5201158699985515,0.15044828353916828,0.2160026107077967,0.7571689033532957,-0.2790308989230822,0.0652791108079452,2.3500479890860273,60.000000000000014,0.0
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,2021-01-04,2023-12-29,1.3153357814470847,0.09606664411821852,0.139539136538007,0.727212042107939,-0.17907204203400418,0.13115884951636525,4.7217185825891494,34.56623536567748,-0.05438163942094976
combined_maximum_sharpe,Combined Maximum Sharpe,combined,maximum_sharpe,2021-01-04,2023-12-29,1.511654488677553,0.1483012284842582,0.20525980092536006,0.7763578226315341,-0.19375487931701407,0.2767534149654619,9.963122938756628,10.916186997672765,-0.0021470550549100853
combined_minimum_variance,Combined Minimum Variance,combined,minimum_variance,2021-01-04,2023-12-29,1.1793021880628194,0.05674488514710041,0.12515924002787968,0.5035736623237352,-0.15848671364948363,0.14641519604744646,5.270947057708073,13.36344505726282,-0.09370339839206787
combined_risk_parity,Combined Risk Parity,combined,risk_parity,2021-01-04,2023-12-29,1.4745061124294498,0.13877911057107628,0.1620225306853937,0.8832785588726769,-0.1949397865841127,0.0645828500947676,2.3249826034116334,51.077150055347985,-0.011669172968092001
crypto_equal_weight,Crypto Equal Weight,crypto,equal_weight,2021-01-01,2023-12-31,2.765322526894085,0.4036169276329473,0.8188936936246295,0.827555413967088,-0.8158915066664058,0.08561925237689434,3.0822930855681965,9.999999999999996,0.0
crypto_hierarchical_risk_parity,Crypto Hierarchical Risk Parity,crypto,hierarchical_risk_parity,2021-01-01,2023-12-31,2.8876346627306813,0.42401341995061137,0.7704322392741741,0.8478929948055431,-0.781381891304364,0.1304856949567061,4.697485018441419,7.648312354073532,0.02039649231766405
crypto_maximum_sharpe,Crypto Maximum Sharpe,crypto,maximum_sharpe,2021-01-01,2023-12-31,1.5138071760662233,0.14821580319092287,0.7634534292442797,0.5656755876937863,-0.826529765240353,0.2247789156072251,8.092040961860103,4.502148350765059,-0.25540112444202445
crypto_minimum_variance,Crypto Minimum Variance,crypto,minimum_variance,2021-01-01,2023-12-31,4.868728220283665,0.6948782665112716,0.7690625819455381,1.0722812743321157,-0.7286707552757465,0.15920930569396152,5.731535004982614,4.949326049755366,0.2912613388783243
crypto_risk_parity,Crypto Risk Parity,crypto,risk_parity,2021-01-01,2023-12-31,2.994545726322321,0.44137499297617566,0.7989300475436181,0.8610727559290963,-0.7989609270739229,0.0902431113900689,3.2487520100424803,9.410166044681867,0.03775806534322834
equity_equal_weight,Equity Equal Weight,equity,equal_weight,2021-01-04,2023-12-29,1.4244173305715002,0.1256838875364572,0.16120219497345306,0.8151233064015633,-0.20263926950823918,0.05426041297036968,1.9533748669333086,49.99999999999999,0.0
equity_hierarchical_risk_parity,Equity Hierarchical Risk Parity,equity,hierarchical_risk_parity,2021-01-04,2023-12-29,1.2644991483743209,0.08170340565611678,0.13682478025863068,0.6424458256078621,-0.17436848139849082,0.14723546025048606,5.300476569017499,32.88432203461732,-0.04398048188034043
equity_maximum_sharpe,Equity Maximum Sharpe,equity,maximum_sharpe,2021-01-04,2023-12-29,1.323326068509816,0.09829042855426362,0.16624444976585825,0.6472440512291051,-0.1917399702884729,0.2708862170450455,9.751903813621638,10.733605364266587,-0.027393458982193586
equity_minimum_variance,Equity Minimum Variance,equity,minimum_variance,2021-01-04,2023-12-29,1.179079735556171,0.056678171424742185,0.12496157858421826,0.5036651613915859,-0.15723731319033551,0.14515151793157383,5.225454645536658,13.19551598592589,-0.06900571611171502
equity_risk_parity,Equity Risk Parity,equity,risk_parity,2021-01-04,2023-12-29,1.3234611163702197,0.09832793698200248,0.14530441072558692,0.7181764182305346,-0.18507871925344366,0.058706985530883604,2.1134514791118097,44.563063725867416,-0.027355950554454722
