fund_id,fund_name,asset_family,method,rebalance_schedule,rebalance_number,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,annualization_days,eligible_asset_count,turnover,transaction_cost,transaction_cost_bps,covariance_trace,covariance_condition_number,covariance_ridge_added,expected_return_min,expected_return_max,solver_success,solver_status,solver_message,solver_iterations,valid_start_count,objective_value,expected_portfolio_return,expected_portfolio_volatility,expected_sharpe,weight_sum_residual,maximum_bound_residual,minimum_weight,maximum_weight,crypto_sleeve_weight,weight_hhi,risk_contribution_dispersion,effective_number_of_bets,effective_bet_ratio,cluster_count,minimum_linkage_distance,maximum_linkage_distance,constraint_projection_applied,projection_l1_distance,raw_maximum_weight,raw_weight_hhi,raw_crypto_sleeve_weight,ordered_asset_signature
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,21.157579991903326,1033.413620149154,3.526263296721254e-09,-0.3492732395247833,1.982593873089236,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.0934946459045655,0.3068681024357626,0.30576894202087546,1.0035947418584197,0.0,0.0,0.002625785491645976,0.06491725515357627,0.05248320522649656,0.026377484992605872,0.008703773033317977,1.8892407930725819,0.031487346551209695,60.0,0.20357057686236818,0.5526588311032098,False,0.0,0.06491725515357627,0.026377484992605872,0.05248320522649656,NEM|TRX-USD|XLM-USD|XRP-USD|ADA-USD|ETC-USD|BTC-USD|BCH-USD|EOS-USD|ETH-USD|LTC-USD|GILD|WMT|UPS|TMUS|EA|TTWO|INTC|AMGN|ABT|PSA|O|BA|GE|DIS|SHW|NKE|PLD|AMT|CCI|CMCSA|NEE|AEP|D|DUK|SO|MMM|DD|OXY|XOM|SLB|COP|CVX|CAT|DOW|SBUX|V|NUE|GS|MS|USB|WFC|KO|T|QCOM|AMD|ADBE|NVDA|ABBV|MRK
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,2,2021-02-01,2020-01-31,2021-01-29,2021-02-01,252,252,60,0.06990052787710806,6.990052787710806e-05,10.0,22.44822153978953,1091.1155307785195,3.741370219217885e-09,-0.23740683868214907,2.7597000301127537,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.09592573369363142,0.2744106710438057,0.3097187977724817,0.8859994066145988,2.220446049250313e-16,0.0,0.002452237472976626,0.06647658601569925,0.05126731240165194,0.025977359760324246,0.00828806261545946,2.074332799497955,0.03457221332496592,60.0,0.20151596682824577,0.5571492583585446,False,0.0,0.06647658601569925,0.025977359760324246,0.05126731240165194,NEM|XLM-USD|TRX-USD|XRP-USD|ADA-USD|BTC-USD|ETC-USD|ETH-USD|LTC-USD|BCH-USD|EOS-USD|GILD|WMT|UPS|TMUS|EA|TTWO|INTC|AMGN|ABT|QCOM|ADBE|AMD|NVDA|PSA|O|CMCSA|DIS|BA|PLD|AMT|CCI|MMM|SHW|GE|NKE|NEE|AEP|D|DUK|SO|KO|SBUX|V|T|CAT|DOW|OXY|XOM|SLB|COP|CVX|GS|MS|USB|WFC|DD|NUE|ABBV|MRK
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,3,2021-03-01,2020-02-28,2021-02-26,2021-03-01,252,252,60,0.07889650039491784,7.889650039491784e-05,10.0,23.014831526063983,1144.0399490852305,3.835805215985945e-09,-0.09602128620994455,2.9761046427603395,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.09210784133774047,0.34419670080627424,0.30349273687806844,1.1341184120151089,2.220446049250313e-16,0.0,0.0023619864925610587,0.062439685698324664,0.04690734972823439,0.02639552091662232,0.008489523704499066,2.263931998998815,0.037732199983313584,60.0,0.19993280980246766,0.5619880299300772,False,0.0,0.062439685698324664,0.02639552091662232,0.04690734972823439,NEM|XLM-USD|XRP-USD|ADA-USD|TRX-USD|BTC-USD|ETC-USD|ETH-USD|LTC-USD|BCH-USD|EOS-USD|GILD|WMT|UPS|INTC|EA|TTWO|AMGN|ABT|ABBV|MRK|PSA|MMM|CMCSA|DIS|O|NKE|SHW|BA|PLD|AMT|CCI|GE|NEE|AEP|D|DUK|SO|KO|DD|SBUX|V|T|CAT|DOW|NUE|GS|MS|USB|WFC|OXY|XOM|SLB|COP|CVX|TMUS|QCOM|AMD|ADBE|NVDA
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,4,2021-04-01,2020-04-01,2021-03-31,2021-04-01,252,252,60,0.1319999326949667,0.00013199993269496672,10.0,15.539452910196802,662.0119356502846,2.5899087924670455e-09,-0.060127039234835644,2.867691654241286,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.03270568895380929,0.4254636840016724,0.18084714250938358,2.3526149105706575,0.0,0.0,0.002112914938226974,0.07707820592103422,0.03177910759107952,0.02914964725177282,0.01081091225952755,4.989815593113474,0.0831635932185579,60.0,0.21882854393618092,0.5978440901039667,False,0.0,0.07707820592103422,0.02914964725177282,0.03177910759107952,XRP-USD|TRX-USD|BTC-USD|ETH-USD|ETC-USD|LTC-USD|BCH-USD|EOS-USD|ADA-USD|XLM-USD|NEM|WMT|UPS|TMUS|GILD|AMGN|ABBV|MRK|ABT|INTC|EA|TTWO|QCOM|AMD|ADBE|NVDA|NKE|DIS|PSA|SHW|PLD|AMT|CCI|MMM|OXY|SLB|COP|CVX|XOM|T|USB|WFC|GS|MS|NUE|DD|CAT|DOW|BA|GE|SBUX|O|NEE|D|DUK|AEP|SO|V|CMCSA|KO
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,5,2021-05-03,2020-05-01,2021-04-30,2021-05-03,252,252,60,0.14677503941557113,0.00014677503941557112,10.0,15.299208835217478,797.3610584587759,2.5498681137042323e-09,-0.2081438801394524,2.7040908911882555,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.020499355565747567,0.3201458938049661,0.14317596015304931,2.2360310590042007,1.1102230246251565e-16,0.0,0.0009069233263127438,0.09581110702378962,0.02984801137347679,0.03297275412539297,0.011884272019722588,6.519133339223808,0.1086522223203968,60.0,0.2135245158094587,0.6098134648006001,False,0.0,0.09581110702378962,0.03297275412539297,0.02984801137347679,TRX-USD|XRP-USD|ADA-USD|XLM-USD|ETH-USD|BTC-USD|ETC-USD|EOS-USD|BCH-USD|LTC-USD|WMT|NEM|GILD|ABBV|AMGN|MRK|UPS|INTC|ABT|TMUS|QCOM|AMD|ADBE|NVDA|EA|TTWO|NKE|SHW|PSA|PLD|AMT|CCI|NEE|D|AEP|DUK|SO|DIS|MMM|T|DD|NUE|CAT|DOW|OXY|SLB|COP|CVX|XOM|GS|MS|USB|WFC|BA|GE|SBUX|V|CMCSA|KO|O
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,6,2021-06-01,2020-06-01,2021-05-28,2021-06-01,252,252,60,0.061065758597714855,6.106575859771485e-05,10.0,19.13689618527403,1412.0335165734627,3.1894826656508454e-09,-0.09446757920356907,2.5441974199957964,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.018319691816694645,0.2775709510057023,0.13535025606438522,2.0507604424011108,1.1102230246251565e-16,0.0,0.0007403283210371406,0.09668331910313296,0.016486753093914546,0.03312818637358205,0.012778368030325471,6.335620157761666,0.10559366929602777,60.0,0.20550462474860828,0.6122481436396198,False,0.0,0.09668331910313296,0.03312818637358205,0.016486753093914546,XRP-USD|TRX-USD|ETC-USD|BTC-USD|ETH-USD|EOS-USD|BCH-USD|LTC-USD|ADA-USD|XLM-USD|WMT|NEM|GILD|AMGN|ABBV|MRK|UPS|INTC|ABT|TMUS|NKE|QCOM|AMD|ADBE|NVDA|EA|TTWO|SHW|PSA|PLD|AMT|CCI|DIS|NEE|D|DUK|AEP|SO|CMCSA|KO|O|SBUX|V|MMM|T|GS|MS|USB|WFC|OXY|SLB|COP|CVX|XOM|DD|NUE|CAT|DOW|BA|GE
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,7,2021-07-01,2020-07-01,2021-06-30,2021-07-01,252,252,60,0.14295634550470665,0.00014295634550470665,10.0,19.25250895118555,1689.7163954840023,3.2087514597767435e-09,-0.04517062980827402,2.4942228399591873,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.014502856186376355,0.29274872762227916,0.12042780487236474,2.4309064499892576,0.0,0.0,0.00047657661133144113,0.05876829733562518,0.010264775217572715,0.029041466387034566,0.011983936161351912,6.943340920817911,0.11572234868029851,60.0,0.21690889301915448,0.6123478669929822,False,0.0,0.05876829733562518,0.029041466387034566,0.010264775217572715,XRP-USD|TRX-USD|ETC-USD|BTC-USD|ETH-USD|EOS-USD|BCH-USD|LTC-USD|ADA-USD|XLM-USD|NEM|WMT|NKE|ABT|GILD|AMGN|ABBV|MRK|UPS|INTC|TMUS|QCOM|EA|TTWO|AMD|ADBE|NVDA|DIS|T|MMM|GE|BA|GS|MS|USB|WFC|SLB|OXY|COP|CVX|XOM|DD|CAT|DOW|NUE|NEE|D|DUK|AEP|SO|O|CMCSA|KO|SBUX|V|SHW|PSA|PLD|AMT|CCI
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,8,2021-08-02,2020-07-31,2021-07-30,2021-08-02,252,252,60,0.10275255560282508,0.00010275255560282508,10.0,19.050136395589725,1995.4538598721672,3.1750227008480616e-09,-0.03111480254552568,2.133926362043439,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.014543129086580732,0.27223048095567515,0.12059489660255418,2.257396362740522,0.0,0.0,0.00047646257392991497,0.06272588753592087,0.01040285593164052,0.027726706715498227,0.011233436622085907,7.710163240697195,0.12850272067828658,60.0,0.21953383207970645,0.609021944130951,False,0.0,0.06272588753592087,0.027726706715498227,0.01040285593164052,XRP-USD|TRX-USD|ETC-USD|BTC-USD|ETH-USD|EOS-USD|BCH-USD|LTC-USD|ADA-USD|XLM-USD|NEM|NKE|UPS|ABT|WMT|GILD|AMGN|ABBV|MRK|TMUS|INTC|DIS|T|MMM|GE|BA|SLB|OXY|COP|CVX|XOM|GS|MS|USB|WFC|DD|CAT|DOW|NUE|NEE|SO|AEP|D|DUK|O|CMCSA|SBUX|KO|V|EA|QCOM|TTWO|ADBE|AMD|NVDA|SHW|PSA|PLD|AMT|CCI
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,9,2021-09-01,2020-09-01,2021-08-31,2021-09-01,252,252,60,0.13536454233016898,0.000135364542330169,10.0,19.19628066223325,2130.421906888042,3.1993800783784072e-09,-0.07863987065770972,2.5355819840145335,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.013930286033040664,0.2426839109439953,0.11802663272770542,2.056179231206924,2.220446049250313e-16,0.0,0.000505279024383026,0.06771937833824236,0.01118719512710645,0.03014066077595916,0.01334146904015297,8.927077706984006,0.14878462844973345,60.0,0.2066225584144518,0.6030595926604356,False,0.0,0.06771937833824236,0.03014066077595916,0.01118719512710645,XRP-USD|TRX-USD|ETC-USD|BTC-USD|ETH-USD|EOS-USD|BCH-USD|LTC-USD|ADA-USD|XLM-USD|NEM|NKE|UPS|ABBV|MRK|AMGN|GILD|WMT|ABT|INTC|SHW|PSA|PLD|AMT|CCI|EA|TTWO|QCOM|AMD|ADBE|NVDA|MMM|TMUS|DIS|CMCSA|KO|SBUX|V|NEE|O|SO|DUK|AEP|D|T|GE|BA|SLB|OXY|COP|CVX|XOM|GS|MS|USB|WFC|DD|CAT|DOW|NUE
combined_hierarchical_risk_parity,Combined Hierarchical Risk Parity,combined,hierarchical_risk_parity,monthly,10,2021-10-01,2020-10-01,2021-09-30,2021-10-01,252,252,60,0.10511279958010826,0.00010511279958010827,10.0,19.277343381734276,2463.7964940943734,3.2128905314934743e-09,-0.12416434745014902,2.3815964347981127,True,0,standard single-linkage HRP; raw weights feasible,0,1,0.011866140024091726,0.1715046889560285,0.10893181364547148,1.5744224135862286,0.0,0.0,0.000428469265026444,0.05870158155366014,0.00955182309982685,0.029812124439231653,0.01328124070264005,9.181128642698292,0.1530188107116382,60.0,0.20033707097960968,0.6046450113606613,False,0.0,0.05870158155366014,0.029812124439231653,0.00955182309982685,XRP-USD|TRX-USD|ETC-USD|BTC-USD|ETH-USD|EOS-USD|BCH-USD|LTC-USD|ADA-USD|XLM-USD|NEM|UPS|AMGN|GILD|ABBV|MRK|NKE|WMT|ABT|TMUS|SHW|MMM|INTC|EA|TTWO|PSA|PLD|AMT|CCI|QCOM|ADBE|AMD|NVDA|CMCSA|NEE|O|SO|AEP|D|DUK|SBUX|KO|V|T|DIS|GE|BA|DD|SLB|OXY|COP|CVX|XOM|NUE|CAT|DOW|GS|MS|USB|WFC
