date,sector,headline_count,covered_tickers,constituent_count,ticker_coverage_hhi,coverage_breadth,has_news,coverage_confidence,attention_surprise_60d
2023-12-28,Comm,0,0,5,,0.0,False,0.0,-1.6095099859846014
2023-12-28,Consumer,0,0,5,,0.0,False,0.0,-1.990698035383
2023-12-28,Energy,0,0,5,,0.0,False,0.0,-1.5889887141532157
2023-12-28,Financials,0,0,5,,0.0,False,0.0,-1.4967926729102607
2023-12-28,Healthcare,0,0,5,,0.0,False,0.0,-1.668938163937854
2023-12-28,Industrials,0,0,5,,0.0,False,0.0,-1.6734042018071043
2023-12-28,Materials,0,0,5,,0.0,False,0.0,-1.411064284171301
2023-12-28,RealEstate,0,0,5,,0.0,False,0.0,-1.5855298484541895
2023-12-28,Tech,10,1,5,1.0,0.2,True,0.0,-1.789321328115203
2023-12-28,Utilities,0,0,5,,0.0,False,0.0,-1.5029426847145175
2023-12-29,Comm,0,0,5,,0.0,False,0.0,-1.5817215782051377
2023-12-29,Consumer,0,0,5,,0.0,False,0.0,-1.918638406252727
2023-12-29,Energy,0,0,5,,0.0,False,0.0,-1.549592188927078
2023-12-29,Financials,0,0,5,,0.0,False,0.0,-1.440496808414639
2023-12-29,Healthcare,0,0,5,,0.0,False,0.0,-1.6288118829480456
2023-12-29,Industrials,0,0,5,,0.0,False,0.0,-1.6042789334132355
2023-12-29,Materials,0,0,5,,0.0,False,0.0,-1.3618389706480654
2023-12-29,RealEstate,0,0,5,,0.0,False,0.0,-1.5258643404387042
2023-12-29,Tech,8,1,5,1.0,0.2,True,0.0,-1.8032888032654595
2023-12-29,Utilities,0,0,5,,0.0,False,0.0,-1.446097620238118
