fund_id,fund_name,asset_family,method,rebalance_schedule,rebalance_number,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,annualization_days,eligible_asset_count,turnover,transaction_cost,transaction_cost_bps,asset,asset_class,pretrade_weight,target_weight,individual_cap,combined_crypto_sleeve_cap
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,ABBV,equity,0.0,0.09999999999996902,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,ABT,equity,0.0,0.09999999999997165,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,ADA-USD,crypto,0.0,4.0020323309158e-14,0.25,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,ADBE,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,AEP,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,AMD,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,AMGN,equity,0.0,0.09999999999996667,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,AMT,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,BA,equity,0.0,2.0746761639368185e-14,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,BCH-USD,crypto,0.0,4.5350095447563635e-14,0.25,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,BTC-USD,crypto,0.0,1.4143774829758066e-14,0.25,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,CAT,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,CCI,equity,0.0,0.05524321627588449,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,CMCSA,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,COP,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,CVX,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,D,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,DD,equity,0.0,8.123262620380044e-16,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,DIS,equity,0.0,1.2440493281316323e-15,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,DOW,equity,0.0,9.889821442292905e-15,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,DUK,equity,0.0,0.0,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,EA,equity,0.0,0.09999999999996273,0.1,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,EOS-USD,crypto,0.0,4.5020389638151724e-14,0.25,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,ETC-USD,crypto,0.0,3.7731940276684694e-14,0.25,0.3
combined_effective_bets,Combined Factor Diversification,combined,effective_bets,monthly,1,2021-01-04,2020-01-03,2020-12-31,2021-01-04,252,252,60,1.0,0.001,10.0,ETH-USD,crypto,0.0,3.3901183111238836e-14,0.25,0.3
