date,sector,plain_sentiment_index,finance_sentiment_index,coverage_confidence,has_news,coverage_adjusted_finance_sentiment,signal_source_date,coverage_confidence_lag1,plain_signal_lag1,finance_signal_lag1,coverage_adjusted_signal_lag1,tradable_signal_available
2020-01-02,Comm,0.08718,0.08718,0.6776859504132232,True,0.059080661157024796,,,,,,False
2020-01-02,Consumer,-0.06894547619047618,-0.06894547619047618,0.9762396694214875,True,-0.0673073088842975,,,,,,False
2020-01-02,Energy,0.19246166666666667,0.19246166666666667,0.9070294784580498,True,0.1745684051398337,,,,,,False
2020-01-02,Financials,0.10718533333333333,0.10493066666666666,0.9027777777777777,True,0.09472907407407406,,,,,,False
2020-01-02,Healthcare,0.21549047619047618,0.21549047619047618,0.9688090737240076,True,0.20876912863444053,,,,,,False
2020-01-02,Industrials,0.08408,0.08408,0.9023668639053254,True,0.07587100591715976,,,,,,False
2020-01-02,Materials,0.10974999999999999,0.10974999999999999,0.489795918367347,True,0.05375510204081632,,,,,,False
2020-01-02,RealEstate,0.007240000000000002,0.007240000000000002,0.2222222222222222,True,0.001608888888888889,,,,,,False
2020-01-02,Tech,0.06159097435897436,0.06159097435897436,0.6304000000000001,True,0.03882695023589744,,,,,,False
2020-01-02,Utilities,0.12738,0.12738,0.0,True,0.0,,,,,,False
2020-01-03,Comm,0.05423,0.05423,0.2222222222222222,True,0.012051111111111111,2020-01-02,0.6776859504132232,0.08718,0.08718,0.059080661157024796,True
2020-01-03,Consumer,-0.17423333333333332,-0.17423333333333332,0.6999999999999998,True,-0.1219633333333333,2020-01-02,0.9762396694214875,-0.06894547619047618,-0.06894547619047618,-0.0673073088842975,True
2020-01-03,Energy,-0.046189727272727285,-0.026297727272727278,0.9279336734693877,True,-0.024402546672077925,2020-01-02,0.9070294784580498,0.19246166666666667,0.19246166666666667,0.1745684051398337,True
2020-01-03,Financials,0.05045500000000001,0.05045500000000001,0.46875,True,0.023650781250000003,2020-01-02,0.9027777777777777,0.10718533333333333,0.10493066666666666,0.09472907407407406,True
2020-01-03,Healthcare,0.083755,0.12238,0.2222222222222222,True,0.027195555555555556,2020-01-02,0.9688090737240076,0.21549047619047618,0.21549047619047618,0.20876912863444053,True
2020-01-03,Industrials,-0.12487999999999999,-0.12487999999999999,0.7346938775510204,True,-0.09174857142857143,2020-01-02,0.9023668639053254,0.08408,0.08408,0.07587100591715976,True
2020-01-03,Materials,-0.028300000000000002,0.0264,0.2222222222222222,True,0.005866666666666667,2020-01-02,0.489795918367347,0.10974999999999999,0.10974999999999999,0.05375510204081632,True
