date,equity__ABBV,equity__ABT,equity__ADBE,equity__AEP,equity__AMD,equity__AMGN,equity__AMT,equity__BA,equity__CAT,equity__CCI,equity__CMCSA,equity__COP,equity__CVX,equity__D,equity__DD,equity__DIS,equity__DOW,equity__DUK,equity__EA,equity__GE,equity__GILD,equity__GS,equity__INTC,equity__KO,equity__MMM,equity__MRK,equity__MS,equity__NEE,equity__NEM,equity__NKE,equity__NUE,equity__NVDA,equity__O,equity__OXY,equity__PLD,equity__PSA,equity__QCOM,equity__SBUX,equity__SHW,equity__SLB,equity__SO,equity__T,equity__TMUS,equity__TTWO,equity__UPS,equity__USB,equity__V,equity__WFC,equity__WMT,equity__XOM,crypto__ADA-USD,crypto__BCH-USD,crypto__BTC-USD,crypto__EOS-USD,crypto__ETC-USD,crypto__ETH-USD,crypto__LTC-USD,crypto__TRX-USD,crypto__XLM-USD,crypto__XRP-USD
2023-12-15,-0.005423642362528125,-0.012062560855174986,6.838058692881788e-05,-0.013200428742141113,0.00833328910495923,-0.003148370373124987,-9.436080677616143e-05,0.03133780473513159,0.0019989359107939197,-0.014927941534875089,-0.0035842136581993866,-0.003566801341463588,-0.003868460130784679,-0.013832195215378151,-0.002587858898075557,-0.005109695894047639,0.00018451565496691025,-0.017088810578973157,-0.014341606763802695,0.015492384269627957,-0.017730413155176983,-0.007718705905136236,0.02169101735907719,-0.007452640881561723,-0.0005605693962319469,-0.00727244787675374,0.005931379482371435,-0.02038865193329631,-0.006804436242049072,0.00437963045234957,0.011530432623901188,0.011168674345505725,-0.00916619593018475,-0.003403538373210724,-0.014605520801392657,-0.0035726545144385558,0.011519676788563249,-0.011140445749208028,0.009779542830830268,-0.0043877163554387755,-0.008950963152216884,-0.007807649779045911,-0.004589727759872542,-0.02251511657299643,0.003572379187821939,-0.00705928101585418,-0.002705717102171712,-0.0039596045886746145,0.0037460215732765256,-0.006694278562974665,-0.0653790387697254,-0.0437317851738388,-0.025432678020983368,-0.046325023790077746,-0.04606844202170224,-0.041976420815141524,-0.02751430679750777,-0.04172289956334829,-0.035802859273530996,-0.026785485400804943
2023-12-18,-0.0040247555626892195,0.007176896522187448,0.024714394862223488,-0.006080736229653438,-0.0017966224287869759,0.0001091052810962001,-0.0068819487907071375,-0.014606219063954318,-0.00010509042533302093,-0.0037221244547219756,0.0049460839505717225,0.0031431273757762668,0.002209458331586145,-0.006187970720760716,0.004916123021093899,-0.006419923725459631,0.0001843185735812547,0.005588431968346352,-0.005330090693734801,0.0033271150273803674,-0.0103324888060361,-0.010801601773240632,-0.01018202697207049,0.0071672997892744394,-0.010375624196589328,0.008848015918946128,-0.008953764635133199,-0.008130009656727166,0.005382838234811338,-0.003373201132501502,0.008101202391494589,0.024278927681996798,-0.01361510228131746,0.007001321130258198,-0.011768134002499653,-0.0036545704186654593,-0.010340440910571402,-0.001963862574186126,-0.004519439450931806,0.0017245024985002022,0.007902713469337908,-0.003632033237992105,0.0007045546482089549,-0.01017471694802874,-0.008407917077565497,-0.02132869004944915,0.001317571248275362,-0.012919772041086075,0.014599850567718065,0.007433124879948627,0.035703071871116654,0.00881462979615133,0.030433584522719714,-0.029928566569965342,-0.004697599095019989,0.009466157195896718,-0.006064862876820842,-0.011742120053650051,-0.008762003960054221,0.0034598771715774745
2023-12-19,0.0011734161593068837,0.0033314874543806106,0.009196684727386994,0.004894350236526623,0.008999280453039882,0.010744831006286981,0.0014713931790695245,0.011904328020892807,0.0253753671360315,0.013965358244598658,0.0,0.01383805177438946,0.013094754739653158,-0.003528786116797522,0.00720194039006139,0.011522818773775478,0.012350084350349011,-0.0037050027744667258,0.0033309456468479937,0.01860246884104111,-0.00012567305303323728,0.016073457051391182,0.02123010037678097,-0.0032192073410493016,0.003589293456413012,0.004243669513265935,0.012780946689844974,0.00934435831161462,0.01654906693674718,0.012382320476130637,0.020893006295501282,-0.009445598409596134,0.01079451882319038,0.022553774754263012,0.008064428650937039,0.02027674775323507,0.011154214583292577,0.012013286685300661,-0.0037617831402431134,0.013389507204830453,-0.002240014962899828,0.009113018183385835,-0.002496078368178223,0.005234196467990282,0.00030914409845661517,0.0036322045416958826,0.006270223141132014,0.00865863921270038,0.003613801846190867,0.013182474700385471,-0.04065160864210016,-0.012012181684147527,-0.008282083715112631,-0.017039082268382688,-0.012364257702125236,-0.017769968394459656,-0.0026592976281940572,-0.0033494093661934343,-0.013221918366202456,-0.011548819700934576
2023-12-20,-0.012435006975917928,-0.009407872245719151,-0.01419028989477733,-0.02203847879373977,-0.03339274262999914,-0.011707932608713167,0.0005214248259457488,-0.01237148360521323,-0.01109368123363974,0.0036847252557969945,-0.011185719769321811,0.0017168963334641685,-0.009166468575593112,-0.0172878423110302,-0.011467722576925521,-0.028319039472435747,-0.006190768715495842,-0.011672318802049886,-0.014146493411546612,-0.020406646783022397,-0.01132242742450118,-0.01289056638599162,-0.019288585871005015,-0.020737694913967486,-0.024282334297628272,-0.010611347836044671,-0.008485724474504353,-0.028098296860541216,-0.015561459139912137,-0.009866143541913619,-0.012200642845846654,-0.03009826339372146,-0.007352793414140413,-0.0021557668553996434,-0.024523255760329654,-0.006341750704796367,-0.019479231457572133,-0.030802279561001455,-0.00976533106405797,-0.008116310711295482,-0.022032043344338947,-0.01264307460526981,-0.008532731413787298,-0.009033796974624253,-0.028832900040130505,-0.03958371475286282,-0.011077398315792908,-0.014972880965467228,-0.011701942587679093,-0.016700755288820646,0.0220759430966897,0.01936558163486546,0.032687613405284255,0.0329622531770819,0.02631963117165581,0.011037752537226941,-0.01146474601135683,0.02111874420967652,0.01825024527839103,0.019593485482088502
2023-12-21,0.005933225790211161,0.010055955605864586,0.0068449771945024995,-0.0034860434668544382,0.03277480181145598,0.015080632787435322,0.015015822592367778,0.0068011105232348434,0.0012427131078411868,0.0016607064601887878,-0.0040723676455327595,0.001199845216790063,0.0030614299918709786,-0.009114094758704838,0.014876360698501179,0.008217439262535153,0.007145590174483463,0.007106992325886408,0.009444537393341168,0.029180662940126556,0.004326329963094233,0.008078952421548768,0.028846325242298132,0.00659592318768798,0.018230909615550406,0.009775971594288002,0.016348599166787103,-0.004010599608449517,0.007539046380751646,0.009058655190952836,0.005293314282365902,0.018270271918988668,0.004585463484236829,0.0044872701059988085,0.003755716670126308,0.014164339219852495,0.014241050914543196,0.006546422295304888,0.008941245529069608,0.0005709220414258365,-0.004591778653393774,0.005487815495635484,0.002523756982865555,0.015383594406798151,0.0012741306671697483,0.02001875385628793,0.009451153708759374,0.0022292807553920824,0.007091042234444345,0.004542463434082045,0.08020986518058515,0.01581193555924032,0.0049688697318006625,0.07070660464992451,0.023958589769500938,0.017090198956007274,0.016038292020593925,0.019201978657406693,0.02172627981690267,0.010676849642373476
2023-12-22,0.015400625620430208,0.005069992194382422,-0.0023161505890451073,0.004247913120702718,-0.002215692591520546,0.017291475387762434,0.004246793309229169,-0.0060300230460019755,0.0009996927040085701,0.002006857295170361,-0.00045442543811280434,0.007104344714829791,0.002256070981724756,0.0010694473091537038,0.01573431175023776,-0.01086731262925944,0.002728705990234781,0.005188895946818928,-0.0015232645568522551,-0.0022052639152435605,0.00924870605899919,0.00021028109547560625,0.019541107812255376,0.005690617231099981,0.0072943452653690954,0.012313190673571617,-0.002375011809855332,0.002516804414089968,0.015206438990667426,-0.11825687008550123,0.008153056255021163,-0.00326600231145191,-0.0012291257262552202,0.0061216907778969265,0.010995651764630132,0.002658585597832719,0.007371510738904297,-0.0005246702100396572,0.014139938801739804,0.009509498247709303,0.0010088624092861043,0.00363864142867687,0.005034499709857698,0.009726276978179405,0.006935607574138691,0.004617880309080391,-0.004276648973004504,-0.005459989633893603,0.011951026293804734,0.001769313408939599,-0.019451780600258872,0.02376259833165406,0.002934864092908329,0.00473850349870486,0.06128735447884304,0.03883937127050796,0.03955166723679082,0.004385215007648435,0.018152984188443577,0.002391312592829209
2023-12-26,-0.0020654412187928184,0.0018343602146539961,-0.0008183552974947439,0.004354586804104388,0.02729224492847493,-0.0009148182828746521,0.004879310241295398,0.009023214872854846,0.01814991387976095,0.006618529902130188,-0.0015908072835857379,0.011558477758582875,0.00900363327168141,0.005341798907674056,0.012974950289343035,-0.0007689627084727091,0.010703906192154333,-0.00134198622083459,-0.002760236090473822,0.006156588416115882,0.0036403933611772743,0.002521996615905353,0.05208334507834578,0.0041153333041261675,0.016740296140743904,-0.000649848647564788,0.004653022744109725,0.0076987092453155714,-0.0035663085483070844,-0.000185020368666855,0.0010671823202454966,0.009195103468294441,0.014238285312639487,0.01036021200887327,0.00800607490205163,0.013258241981894958,0.013729261362491085,0.004093346399481668,0.004497660817482707,0.011303503780272894,0.0001442770291231188,0.0012084396657623397,0.007192786848315036,-0.002037677290973705,-0.0013900409761938848,0.01287049283703734,0.002824738254900261,0.009353419494081638,-0.0015321836498237706,0.0022569274274923945,-0.0270439983173707,-0.024683815683942067,-0.025055253200995553,-0.009390114547013995,-0.030112932380135016,-0.0180837485401647,0.012109762356509401,-0.027035985924126038,-0.038416921613109056,-0.037082794811935216
2023-12-27,0.0016815770733047408,0.005126730779127842,-0.0036438883431892943,0.0009906437024427284,0.018548243457106706,0.009263867378959567,0.010161199973365287,-0.002625679892575894,0.008422577434433753,0.0043256271898441945,0.0013657651447571695,-0.0044527813444174,-0.0032804956876753,-0.01147704354361856,0.005489449543923941,-0.006267179006910206,0.0,-0.004445494709683029,-0.004224469464174763,0.006358564003311029,0.005253386216661493,0.00752079569208286,0.005148462676056953,0.0025612894641910966,0.0058274537882807564,0.003251888949233006,0.008832511544825117,0.00614524461578525,0.011214510142246281,-0.008239261418533927,-0.0021318227568813963,0.00280056132201012,0.00519923398732125,-0.006510282845370252,0.005394839694440101,0.011262732838694278,0.0017874378470410512,-0.003972064084674765,0.0019189809495767651,-0.012108846236189241,-0.0005760081338497258,0.0006035231914802708,0.0070777026787467445,-0.0038979683396639375,-0.007530231505630258,-0.002949815172805015,-0.0008875900819338423,-0.006245053854141092,0.009398434875030448,-0.004699365358836416,0.0406308938988551,0.1523254145564743,0.021694364920222586,0.03698228227182021,0.08965805734983112,0.06599907965814755,0.03690723337593882,0.022703202696432223,0.03849937753160493,0.020063651048750186
2023-12-28,-0.0008392159196638493,0.0055560700944108365,-0.0009394670892135526,0.00643503088065378,0.018415739356036687,0.0067355907909338875,0.0020302820637752017,-0.006676840744936241,-0.004159256652154664,0.00017225017080235716,0.0029552736596771823,-0.016794898357902044,-0.014087506091366109,0.011825638890737622,0.0014298430755621538,0.00022124707390203113,-0.008615984943872834,0.006438229113693739,0.00036572144201763024,0.0009359007050175894,0.009580654703778446,0.005019712821835887,-0.007289095456839534,0.0006815293604915951,0.008736446351995664,0.007315984888679017,-0.00021363944400054624,0.007263106943638187,-0.016045516951540217,0.015775230598857215,-0.012067908531039229,0.0021246755761523684,0.010000157872978033,-0.017529660128332125,0.007527215594630432,0.008254563023816885,0.0009607153226927068,0.006716259200631347,-0.001372570889108915,-0.01489709563525965,0.010805644003971437,0.009650155284943285,0.006394962568808227,0.002981525008764807,0.002996784311539713,0.004142753833910273,0.005677240057383681,0.003040924993303662,-0.00196337652583245,-0.014460007821553766,-0.025433546894642722,-0.006021541559938393,-0.01876027694786908,-0.03732999288424266,-0.008496658790641654,-0.013105185204343561,0.01149665188102289,0.0018120188106156565,0.011531993318602218,0.00022373242390760772
2023-12-29,0.0014216938897266829,-0.0029892076326197836,0.0018134672542788888,-0.0013524837760411357,-0.009074958957897339,-0.001525146303523961,-0.0058941128258444,0.0011906954151192917,-0.0040754812603776,-0.007923405226981428,-0.0061197282937938136,-0.0036908304223484123,-0.004072817807946327,-0.0012751378726880702,-0.001427801543412044,-0.0012168049965808336,-0.007061333066895159,0.0012380427318186005,0.0003657006441593058,-0.005377152550939401,-0.0016021449619951778,-0.0016563240174483074,-0.002778395139250822,0.0030637876269619113,-0.003373094438498203,0.0022984551031488554,-0.004164797104904805,-0.004588796097720116,-0.0074338993471575465,-0.002297214942860948,-0.006564481606581074,0.0,-0.015482977258486685,-0.00433545881844255,-0.013980301579144094,-0.009096647840227234,-0.008432673732545748,0.0008341541163334742,-0.003004799482087872,-0.0038284464276384655,-0.0005703565669863409,0.002389770749885889,0.008681728041885606,-0.0032204388959542474,-0.0005086526977639005,-0.008022040587877699,-0.00019209006892551006,-0.0052546788950342815,0.0005076217007009554,-0.0020959411865598687,-0.014460127997720118,-0.030415311765752184,-0.012396896798793966,-0.025384450628895716,-0.001684136670340175,-0.019967696347748753,-0.043249259731533374,0.000842776379853083,-0.02072340243010462,-0.01826151201591142
