variant,variant_label,kind,rebalance_date,asset,sector,signal_source_date,raw_finance_signal_lag1,coverage_confidence_lag1,coverage_adjusted_signal_lag1,sector_signal_z,base_target_weight,pretrade_weight,target_weight,individual_cap,view_scale_annual,is_primary,turnover,transaction_cost
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,GILD,Healthcare,2020-12-31,0.1308966666666666,0.4921874999999999,0.0644257031249999,-0.014490987477717446,0.036346310755066655,0.0,0.025195407314810493,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,GS,Financials,2020-12-31,0.3063906666666666,0.6944444444444444,0.2127712962962962,1.7245209398127173,0.014981538780118493,0.0,0.019808439224889677,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,INTC,Tech,2020-12-31,0.12261,0.4799999999999999,0.0588527999999999,-0.09660554507406435,0.016709076568196105,0.0,0.01479788643061766,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,KO,Consumer,2020-12-31,0.3442186666666667,0.8956916099773243,0.3083137717309146,2.0,0.022651732334158348,0.0,0.05186540810422438,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,MMM,Industrials,2020-12-31,0.1044586666666666,0.64,0.0668535466666666,-0.27647143885328884,0.022610878834270768,0.0,0.008652754503784492,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,MRK,Healthcare,2020-12-31,0.1308966666666666,0.4921874999999999,0.0644257031249999,-0.014490987477717446,0.02734555420700638,0.0,0.014848035229046702,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,MS,Financials,2020-12-31,0.3063906666666666,0.6944444444444444,0.2127712962962962,1.7245209398127173,0.01324437822099497,0.0,0.01568487944100021,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,NEE,Utilities,2020-12-31,0.08808,0.0,0.0,-0.4387715555891743,0.019716290627092826,0.0,0.021927362416480516,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,NEM,Materials,2020-12-31,0.08038,0.0,0.0,-0.5150726931787009,0.039273709083393865,0.0,0.03178324546189412,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,NKE,Consumer,2020-12-31,0.3442186666666667,0.8956916099773243,0.3083137717309146,2.0,0.020721889803227353,0.0,0.048693700203215146,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,NUE,Materials,2020-12-31,0.08038,0.0,0.0,-0.5150726931787009,0.016451293050846798,0.0,0.02182096181322984,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,NVDA,Tech,2020-12-31,0.12261,0.4799999999999999,0.0588527999999999,-0.09660554507406435,0.01523700470589009,0.0,0.020970042044923087,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,O,RealEstate,2020-12-31,0.04074,0.0,0.0,-0.907874913185042,0.015725664783696823,0.0,0.009428591120631581,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,OXY,Energy,2020-12-31,0.0454366666666666,0.6527777777777778,0.0296600462962962,-0.8613345223349809,0.009790222820556502,0.0,0.007132554267705729,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,PLD,RealEstate,2020-12-31,0.04074,0.0,0.0,-0.907874913185042,0.017069024831150876,0.0,0.011427668962563737,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,PSA,RealEstate,2020-12-31,0.04074,0.0,0.0,-0.907874913185042,0.026047018801744166,0.0,0.02299040495396547,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,QCOM,Tech,2020-12-31,0.12261,0.4799999999999999,0.0588527999999999,-0.09660554507406435,0.017208186475157716,0.0,0.016658098094106486,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,SBUX,Consumer,2020-12-31,0.3442186666666667,0.8956916099773243,0.3083137717309146,2.0,0.01723509871337642,0.0,0.04582727430167237,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,SHW,Materials,2020-12-31,0.08038,0.0,0.0,-0.5150726931787009,0.02005743858099264,0.0,0.025081513308804836,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,SLB,Energy,2020-12-31,0.0454366666666666,0.6527777777777778,0.0296600462962962,-0.8613345223349809,0.012275385296149043,0.0,0.009101742249835383,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,SO,Utilities,2020-12-31,0.08808,0.0,0.0,-0.4387715555891743,0.017795642580504166,0.0,0.030632965335929786,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,T,Comm,2020-12-31,0.0603790476190476,0.3842975206611571,0.0232035182998819,-0.7132669035086506,0.021912525174282178,0.0,0.013574805472901255,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,TMUS,Comm,2020-12-31,0.0603790476190476,0.3842975206611571,0.0232035182998819,-0.7132669035086506,0.022816895119530185,0.0,0.013532176554426907,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,TTWO,Comm,2020-12-31,0.0603790476190476,0.3842975206611571,0.0232035182998819,-0.7132669035086506,0.031707737718345494,0.0,0.018249716843647474,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,UPS,Industrials,2020-12-31,0.1044586666666666,0.64,0.0668535466666666,-0.27647143885328884,0.023964712777180767,0.0,0.009382305083184708,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,USB,Financials,2020-12-31,0.3063906666666666,0.6944444444444444,0.2127712962962962,1.7245209398127173,0.014242839003274377,0.0,0.015037434987435235,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,V,Financials,2020-12-31,0.3063906666666666,0.6944444444444444,0.2127712962962962,1.7245209398127173,0.01735871815765518,0.0,0.014078031516721838,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,WFC,Financials,2020-12-31,0.3063906666666666,0.6944444444444444,0.2127712962962962,1.7245209398127173,0.013406408243058523,0.0,0.017403310203989646,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,WMT,Consumer,2020-12-31,0.3442186666666667,0.8956916099773243,0.3083137717309146,2.0,0.03639702026458028,0.0,0.055072649819106055,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-01-04,XOM,Energy,2020-12-31,0.0454366666666666,0.6527777777777778,0.0296600462962962,-0.8613345223349809,0.016484440802867532,0.0,0.005968349006979389,0.1,0.01,False,1.0,0.001
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,ABBV,Healthcare,2021-01-29,-0.0261066666666666,0.6666666666666666,-0.0174044444444444,-0.6839078265912271,0.026769298210833386,0.012313984474475079,0.01774285605144704,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,ABT,Healthcare,2021-01-29,-0.0261066666666666,0.6666666666666666,-0.0174044444444444,-0.6839078265912271,0.022539760956417687,0.027108673665234756,0.013175350982450608,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,ADBE,Tech,2021-01-29,0.105405,0.6122448979591837,0.0645336734693877,0.6557287202949342,0.019179794644800966,0.017331637349599426,0.0208952539240162,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,AEP,Utilities,2021-01-29,0.11356,0.5,0.05678,0.73879919089848,0.024334724571584917,0.01278829021018325,0.026647566971456177,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,AMD,Tech,2021-01-29,0.105405,0.6122448979591837,0.0645336734693877,0.6557287202949342,0.017375328484098083,0.014300779796474155,0.01924407570239386,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,AMGN,Healthcare,2021-01-29,-0.0261066666666666,0.6666666666666666,-0.0174044444444444,-0.6839078265912271,0.02378204611924825,0.025219893392860588,0.014380430585945446,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,AMT,RealEstate,2021-01-29,-0.02821,0.2222222222222222,-0.0062688888888888,-0.7053333189071229,0.018888783130562265,0.022802850651934704,0.01746848263278483,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,BA,Industrials,2021-01-29,0.1253016666666666,0.7313019390581718,0.091633351800554,0.8584050493497322,0.010981468503838458,0.006114238155420771,0.0142736054193169,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,CAT,Industrials,2021-01-29,0.1253016666666666,0.7313019390581718,0.091633351800554,0.8584050493497322,0.018585318841273644,0.005800764771304997,0.02201392046803597,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,CCI,RealEstate,2021-01-29,-0.02821,0.2222222222222222,-0.0062688888888888,-0.7053333189071229,0.019972027287856804,0.026393866845277416,0.01841626816004575,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,CMCSA,Comm,2021-01-29,0.0587766666666666,0.9602076124567474,0.056437802768166,0.18075170086403194,0.0208181155175999,0.018714143877555697,0.02033270134603833,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,COP,Energy,2021-01-29,-0.2035466666666666,0.3988919667590027,-0.0811931301939058,-2.0,0.012478076082033605,0.0067398969453402145,0.010241992234226336,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,CVX,Energy,2021-01-29,-0.2035466666666666,0.3988919667590027,-0.0811931301939058,-2.0,0.01354164516076413,0.01180155538949833,0.011170520474683622,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,D,Utilities,2021-01-29,0.11356,0.5,0.05678,0.73879919089848,0.01960689999816166,0.02149547208078153,0.021651201590857976,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,DD,Materials,2021-01-29,0.04046,0.25,0.010115,-0.005830042837779889,0.015942429565703617,0.01931636879893622,0.015498180520539737,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,DIS,Consumer,2021-01-29,0.1237683333333333,0.629757785467128,0.0779440715109573,0.8427858314966237,0.018225243396685378,0.050604258054773414,0.02352417340458311,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,DOW,Materials,2021-01-29,0.04046,0.25,0.010115,-0.005830042837779889,0.0136296702570832,0.017492410569811476,0.013133838607052105,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
black_litterman_100bp,Black-Litterman sentiment (1% annual view scale),black_litterman,2021-02-01,DUK,Utilities,2021-01-29,0.11356,0.5,0.05678,0.73879919089848,0.019545543523667212,0.02704985729253127,0.021628985297328335,0.1,0.01,False,0.1897021821213592,0.0001897021821213592
