date,sector,ticker_count,covered_tickers,headline_count,plain_sentiment_index,finance_sentiment_index,plain_sentiment_covered_only,finance_sentiment_covered_only,constituent_count,coverage_breadth,ticker_coverage_hhi,coverage_confidence,has_news,plain_sentiment_index_lag1,finance_sentiment_index_lag1,tradable_signal_available,no_news_policy
2020-01-02,Comm,5,4,11,0.08718,0.08718,0.10897499999999999,0.10897499999999999,5,0.8,0.3223140495867768,0.6776859504132232,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Consumer,5,5,22,-0.06894547619047618,-0.06894547619047618,-0.06894547619047618,-0.06894547619047618,5,1.0,0.2190082644628099,0.9762396694214875,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Energy,5,5,21,0.19246166666666667,0.19246166666666667,0.19246166666666667,0.19246166666666667,5,1.0,0.27437641723356004,0.9070294784580498,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Financials,5,5,12,0.10718533333333333,0.10493066666666666,0.10718533333333333,0.10493066666666666,5,1.0,0.2777777777777778,0.9027777777777777,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Healthcare,5,5,23,0.21549047619047618,0.21549047619047618,0.21549047619047618,0.21549047619047618,5,1.0,0.22495274102079393,0.9688090737240076,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Industrials,5,5,13,0.08408,0.08408,0.08408,0.08408,5,1.0,0.2781065088757396,0.9023668639053254,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Materials,5,3,7,0.10974999999999999,0.10974999999999999,0.18291666666666664,0.18291666666666664,5,0.6,0.346938775510204,0.489795918367347,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,RealEstate,5,2,3,0.007240000000000002,0.007240000000000002,0.018100000000000005,0.018100000000000005,5,0.4,0.5555555555555556,0.2222222222222222,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Tech,5,4,25,0.06159097435897436,0.06159097435897436,0.07698871794871795,0.07698871794871795,5,0.8,0.3696,0.6304000000000001,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-02,Utilities,5,1,1,0.12738,0.12738,0.6369,0.6369,5,0.2,1.0,0.0,True,,,False,all constituent ticker-days retained; no-news score = 0
2020-01-03,Comm,5,2,3,0.05423,0.05423,0.135575,0.135575,5,0.4,0.5555555555555556,0.2222222222222222,True,0.08718,0.08718,True,all constituent ticker-days retained; no-news score = 0
2020-01-03,Consumer,5,4,10,-0.17423333333333332,-0.17423333333333332,-0.21779166666666666,-0.21779166666666666,5,0.8,0.30000000000000004,0.6999999999999998,True,-0.06894547619047618,-0.06894547619047618,True,all constituent ticker-days retained; no-news score = 0
2020-01-03,Energy,5,5,28,-0.046189727272727285,-0.026297727272727278,-0.046189727272727285,-0.026297727272727278,5,1.0,0.2576530612244898,0.9279336734693877,True,0.19246166666666667,0.19246166666666667,True,all constituent ticker-days retained; no-news score = 0
2020-01-03,Financials,5,3,8,0.05045500000000001,0.05045500000000001,0.08409166666666668,0.08409166666666668,5,0.6,0.375,0.46875,True,0.10718533333333333,0.10493066666666666,True,all constituent ticker-days retained; no-news score = 0
2020-01-03,Healthcare,5,2,6,0.083755,0.12238,0.2093875,0.30595,5,0.4,0.5555555555555556,0.2222222222222222,True,0.21549047619047618,0.21549047619047618,True,all constituent ticker-days retained; no-news score = 0
